program_id,ts_minute,batches_created,pieces_processed,weight_processed_g
2,2025-06-05T08:11:00Z,5,147,29968
2,2025-06-05T08:12:00Z,5,128,25768
2,2025-06-05T08:13:00Z,7,116,23090
2,2025-06-05T08:14:00Z,5,115,23121
2,2025-06-05T08:15:00Z,5,132,26708
2,2025-06-05T08:16:00Z,5,133,26424
2,2025-06-05T08:17:00Z,7,144,28928
2,2025-06-05T08:18:00Z,6,139,27377
2,2025-06-05T08:19:00Z,6,142,28810
2,2025-06-05T08:20:00Z,5,128,25922
2,2025-06-05T08:21:00Z,6,149,29632
2,2025-06-05T08:22:00Z,6,141,27726
2,2025-06-05T08:23:00Z,5,145,28678
2,2025-06-05T08:24:00Z,7,142,27928
2,2025-06-05T08:25:00Z,4,148,28565
2,2025-06-05T08:26:00Z,5,145,28304
2,2025-06-05T08:27:00Z,5,123,25201
2,2025-06-05T08:28:00Z,6,143,28408
2,2025-06-05T08:29:00Z,6,117,21687
2,2025-06-05T08:30:00Z,6,93,16060
2,2025-06-05T08:31:00Z,2,109,18660
2,2025-06-05T08:32:00Z,4,113,19089
2,2025-06-05T08:33:00Z,6,123,20767
2,2025-06-05T08:34:00Z,4,119,19707
2,2025-06-05T08:35:00Z,4,120,19766
2,2025-06-05T08:36:00Z,4,132,21667
2,2025-06-05T08:37:00Z,6,128,21581
2,2025-06-05T08:38:00Z,4,134,22338
2,2025-06-05T08:39:00Z,6,126,21049
2,2025-06-05T08:40:00Z,4,136,23048
2,2025-06-05T08:41:00Z,4,122,20799
2,2025-06-05T08:42:00Z,7,128,21475
2,2025-06-05T08:43:00Z,5,134,22514
2,2025-06-05T08:44:00Z,4,141,22826
2,2025-06-05T08:45:00Z,5,129,20056
2,2025-06-05T08:46:00Z,3,129,19607
2,2025-06-05T08:47:00Z,4,105,15539
2,2025-06-05T08:48:00Z,4,92,13182
2,2025-06-05T08:49:00Z,2,100,14458
2,2025-06-05T08:50:00Z,2,26,3800
3,2025-06-05T08:51:00Z,0,61,9536
3,2025-06-05T08:52:00Z,4,127,19464
3,2025-06-05T08:53:00Z,5,112,17506
3,2025-06-05T08:54:00Z,5,120,18578
3,2025-06-05T08:55:00Z,3,128,19234
3,2025-06-05T08:56:00Z,5,120,18025
3,2025-06-05T08:57:00Z,4,121,17818
3,2025-06-05T08:58:00Z,4,110,16246
3,2025-06-05T08:59:00Z,4,123,18338
3,2025-06-05T09:00:00Z,4,130,19670
3,2025-06-05T09:01:00Z,6,133,20426
3,2025-06-05T09:02:00Z,4,119,18615
3,2025-06-05T09:03:00Z,4,129,20439
3,2025-06-05T09:04:00Z,4,129,20625
3,2025-06-05T09:05:00Z,6,130,21795
3,2025-06-05T09:06:00Z,4,107,17198
3,2025-06-05T09:07:00Z,5,125,20161
3,2025-06-05T09:08:00Z,5,134,21673
3,2025-06-05T09:09:00Z,3,126,20434
3,2025-06-05T09:10:00Z,5,132,20583
3,2025-06-05T09:11:00Z,4,119,18549
3,2025-06-05T09:12:00Z,4,105,16653
3,2025-06-05T09:13:00Z,6,128,20466
3,2025-06-05T09:14:00Z,5,140,22864
3,2025-06-05T09:15:00Z,5,140,22464
3,2025-06-05T09:16:00Z,5,133,21627
3,2025-06-05T09:17:00Z,5,129,21705
3,2025-06-05T09:18:00Z,3,119,21411
3,2025-06-05T09:19:00Z,4,123,21817
3,2025-06-05T09:20:00Z,5,97,17824
3,2025-06-05T09:21:00Z,4,136,25857
3,2025-06-05T09:22:00Z,7,121,22940
3,2025-06-05T09:23:00Z,4,130,24590
3,2025-06-05T09:24:00Z,5,128,24519
3,2025-06-05T09:25:00Z,4,133,25448
3,2025-06-05T09:26:00Z,7,131,24970
3,2025-06-05T09:27:00Z,4,127,24775
3,2025-06-05T09:28:00Z,5,132,25640
3,2025-06-05T09:29:00Z,5,115,23100
3,2025-06-05T09:30:00Z,5,132,30621
3,2025-06-05T09:31:00Z,8,133,30881
3,2025-06-05T09:32:00Z,7,130,29211
3,2025-06-05T09:33:00Z,4,129,29364
3,2025-06-05T09:34:00Z,6,123,27998
3,2025-06-05T09:35:00Z,6,128,28840
3,2025-06-05T09:36:00Z,4,130,29471
3,2025-06-05T09:37:00Z,7,123,27906
3,2025-06-05T09:38:00Z,8,127,28688
3,2025-06-05T09:39:00Z,3,116,25935
3,2025-06-05T09:40:00Z,6,122,27672
3,2025-06-05T09:41:00Z,4,118,27159
3,2025-06-05T09:42:00Z,6,113,25730
3,2025-06-05T09:43:00Z,6,120,27020
3,2025-06-05T09:44:00Z,6,115,25755
3,2025-06-05T09:45:00Z,6,137,30670
3,2025-06-05T09:46:00Z,6,141,31267
3,2025-06-05T09:47:00Z,6,131,28502
3,2025-06-05T09:48:00Z,7,145,32285
3,2025-06-05T09:49:00Z,6,140,31655
3,2025-06-05T09:50:00Z,5,136,30545
3,2025-06-05T09:51:00Z,7,139,31209
3,2025-06-05T09:52:00Z,7,132,29900
3,2025-06-05T09:53:00Z,6,137,30470
