ts_minute,program,recipe,batches_min,giveaway_pct,pieces_processed,weight_processed_g
2025-06-05T06:13:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0,0.0
2025-06-05T06:14:00+00:00,1,R_10_1000_4875_9999_NA_0,0.0,0.0,0.0,0.0
2025-06-05T06:14:00+00:00,1,R_120_160_0_0_exact_35,2.0,9.746981023576769,87.0,11709.0
2025-06-05T06:14:00+00:00,1,R_160_200_0_0_exact_25,2.0,4.627949183303085,34.0,5769.0
2025-06-05T06:14:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0,0.0
2025-06-05T06:15:00+00:00,1,R_10_1000_4875_9999_NA_0,1.0,1.550387596899225,28.0,3306.0
2025-06-05T06:15:00+00:00,1,R_120_160_0_0_exact_35,2.0,8.69394177812746,107.0,14277.0
2025-06-05T06:15:00+00:00,1,R_160_200_0_0_exact_25,0.0,0.0,0.0,0.0
2025-06-05T06:15:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0,0.0
2025-06-05T06:16:00+00:00,1,R_10_1000_4875_9999_NA_0,1.0,0.5076142131979695,28.0,3282.0
2025-06-05T06:16:00+00:00,1,R_120_160_0_0_exact_35,4.0,9.282598158022298,110.0,14554.0
2025-06-05T06:16:00+00:00,1,R_160_200_0_0_exact_25,0.0,0.0,0.0,0.0
2025-06-05T06:16:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0,0.0
2025-06-05T06:17:00+00:00,1,R_10_1000_4875_9999_NA_0,0.0,0.0,0.0,0.0
2025-06-05T06:17:00+00:00,1,R_120_160_0_0_exact_35,2.0,8.95230648944488,99.0,13479.0
2025-06-05T06:17:00+00:00,1,R_160_200_0_0_exact_25,2.0,5.742420889577341,15.0,2554.0
2025-06-05T06:17:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0,0.0
2025-06-05T06:18:00+00:00,1,R_10_1000_4875_9999_NA_0,1.0,4.668030500278967,11.0,1450.0
2025-06-05T06:18:00+00:00,1,R_120_160_0_0_exact_35,2.0,11.692812842028456,69.0,9935.0
2025-06-05T06:18:00+00:00,1,R_160_200_0_0_exact_25,2.0,4.369153547798311,66.0,11144.0
2025-06-05T06:18:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0,0.0
2025-06-05T06:19:00+00:00,1,R_10_1000_4875_9999_NA_0,0.0,0.0,0.0,0.0
2025-06-05T06:19:00+00:00,1,R_120_160_0_0_exact_35,2.0,14.622641509433961,54.0,7939.0
2025-06-05T06:19:00+00:00,1,R_160_200_0_0_exact_25,2.0,5.406911928651059,76.0,12891.0
2025-06-05T06:19:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0,0.0
2025-06-05T06:20:00+00:00,1,R_10_1000_4875_9999_NA_0,0.0,0.0,0.0,0.0
2025-06-05T06:20:00+00:00,1,R_120_160_0_0_exact_35,2.0,15.12207274539113,62.0,9267.0
