ts,program,recipe,total_batches,giveaway_g_per_batch,giveaway_pct_avg
2025-06-05T06:14:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:15:00+00:00,1,R_10_1000_4875_9999_NA_0,8.0,63.75,1.2743628185907045
2025-06-05T06:15:00+00:00,1,R_120_160_0_0_exact_35,42.0,458.57142857142856,8.961474036850921
2025-06-05T06:15:00+00:00,1,R_160_200_0_0_exact_25,2.0,204.0,4.627949183303085
2025-06-05T06:15:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:16:00+00:00,1,R_10_1000_4875_9999_NA_0,9.0,59.44444444444444,1.1903437534764714
2025-06-05T06:16:00+00:00,1,R_120_160_0_0_exact_35,46.0,460.32608695652175,8.98959881129272
2025-06-05T06:16:00+00:00,1,R_160_200_0_0_exact_25,2.0,204.0,4.627949183303085
2025-06-05T06:16:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:17:00+00:00,1,R_10_1000_4875_9999_NA_0,9.0,59.44444444444444,1.1903437534764714
2025-06-05T06:17:00+00:00,1,R_120_160_0_0_exact_35,48.0,460.2291666666667,8.988046317468326
2025-06-05T06:17:00+00:00,1,R_160_200_0_0_exact_25,4.0,231.75,5.192113812030917
2025-06-05T06:17:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:18:00+00:00,1,R_10_1000_4875_9999_NA_0,10.0,78.6,1.5619410993203768
2025-06-05T06:18:00+00:00,1,R_120_160_0_0_exact_35,50.0,467.46,9.103549811876329
2025-06-05T06:18:00+00:00,1,R_160_200_0_0_exact_25,6.0,218.33333333333334,4.921111945905334
2025-06-05T06:18:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:19:00+00:00,1,R_10_1000_4875_9999_NA_0,10.0,78.6,1.5619410993203768
2025-06-05T06:19:00+00:00,1,R_120_160_0_0_exact_35,52.0,482.86538461538464,9.347474852764893
2025-06-05T06:19:00+00:00,1,R_160_200_0_0_exact_25,8.0,224.375,5.043551559426805
2025-06-05T06:19:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:20:00+00:00,1,R_10_1000_4875_9999_NA_0,10.0,78.6,1.5619410993203768
2025-06-05T06:20:00+00:00,1,R_120_160_0_0_exact_35,54.0,498.7037037037037,9.595239791919049
2025-06-05T06:20:00+00:00,1,R_160_200_0_0_exact_25,12.0,235.91666666666666,5.275614028549066
2025-06-05T06:20:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:21:00+00:00,1,R_10_1000_4875_9999_NA_0,10.0,78.6,1.5619410993203768
2025-06-05T06:21:00+00:00,1,R_120_160_0_0_exact_35,56.0,519.8214285714286,9.920932451775611
2025-06-05T06:21:00+00:00,1,R_160_200_0_0_exact_25,14.0,239.64285714285714,5.350023919630043
2025-06-05T06:21:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:22:00+00:00,1,R_10_1000_4875_9999_NA_0,10.0,78.6,1.5619410993203768
2025-06-05T06:22:00+00:00,1,R_120_160_0_0_exact_35,56.0,519.8214285714286,9.920932451775611
2025-06-05T06:22:00+00:00,1,R_160_200_0_0_exact_25,18.0,245.05555555555554,5.457672415926357
2025-06-05T06:22:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:23:00+00:00,1,R_10_1000_4875_9999_NA_0,10.0,78.6,1.5619410993203768
2025-06-05T06:23:00+00:00,1,R_120_160_0_0_exact_35,58.0,542.1379310344828,10.259455508861684
2025-06-05T06:23:00+00:00,1,R_160_200_0_0_exact_25,22.0,244.27272727272728,5.442135536922267
2025-06-05T06:23:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:24:00+00:00,1,R_10_1000_4875_9999_NA_0,10.0,78.6,1.5619410993203768
2025-06-05T06:24:00+00:00,1,R_120_160_0_0_exact_35,60.0,555.2666666666667,10.455949182756283
2025-06-05T06:24:00+00:00,1,R_160_200_0_0_exact_25,24.0,246.25,5.481357818586533
2025-06-05T06:24:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:25:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:25:00+00:00,1,R_120_160_0_0_exact_35,61.0,562.0,10.555972952667167
2025-06-05T06:25:00+00:00,1,R_160_200_0_0_exact_25,28.0,244.67857142857142,5.450191723282048
2025-06-05T06:25:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:26:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:26:00+00:00,1,R_120_160_0_0_exact_35,62.0,568.8709677419355,10.657521000785641
2025-06-05T06:26:00+00:00,1,R_160_200_0_0_exact_25,30.0,246.7,5.490274625005564
2025-06-05T06:26:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:27:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:27:00+00:00,1,R_120_160_0_0_exact_35,64.0,575.5,10.754999065595214
2025-06-05T06:27:00+00:00,1,R_160_200_0_0_exact_25,34.0,244.02941176470588,5.437304219038756
2025-06-05T06:27:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:28:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:28:00+00:00,1,R_120_160_0_0_exact_35,66.0,586.8636363636364,10.920979174772885
2025-06-05T06:28:00+00:00,1,R_160_200_0_0_exact_25,38.0,244.68421052631578,5.450303641351497
2025-06-05T06:28:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:29:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:29:00+00:00,1,R_120_160_0_0_exact_35,66.0,586.8636363636364,10.920979174772885
2025-06-05T06:29:00+00:00,1,R_160_200_0_0_exact_25,41.0,244.41463414634146,5.444952782517034
2025-06-05T06:29:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:30:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:30:00+00:00,1,R_120_160_0_0_exact_35,68.0,602.7205882352941,11.150257093886879
2025-06-05T06:30:00+00:00,1,R_160_200_0_0_exact_25,44.0,246.8181818181818,5.492615820352013
2025-06-05T06:30:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:31:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:31:00+00:00,1,R_120_160_0_0_exact_35,69.0,610.2463768115942,11.258134722229649
2025-06-05T06:31:00+00:00,1,R_160_200_0_0_exact_25,48.0,245.20833333333334,5.460703349726269
2025-06-05T06:31:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:32:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:32:00+00:00,1,R_120_160_0_0_exact_35,70.0,617.8285714285714,11.366216727639712
2025-06-05T06:32:00+00:00,1,R_160_200_0_0_exact_25,53.0,246.39622641509433,5.484255705154587
2025-06-05T06:32:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:33:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:33:00+00:00,1,R_120_160_0_0_exact_35,72.0,632.3888888888889,11.572087916556534
2025-06-05T06:33:00+00:00,1,R_160_200_0_0_exact_25,57.0,246.859649122807,5.493437234034246
2025-06-05T06:33:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:34:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:34:00+00:00,1,R_120_160_0_0_exact_35,73.0,638.6986301369863,11.660622733525072
2025-06-05T06:34:00+00:00,1,R_160_200_0_0_exact_25,59.0,246.0,5.47640249332146
2025-06-05T06:34:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:35:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:35:00+00:00,1,R_120_160_0_0_exact_35,74.0,645.2027027027027,11.751458317950233
2025-06-05T06:35:00+00:00,1,R_160_200_0_0_exact_25,61.0,244.65573770491804,5.449738541088487
2025-06-05T06:35:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:36:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:36:00+00:00,1,R_120_160_0_0_exact_35,76.0,653.3815789473684,11.86507500346464
2025-06-05T06:36:00+00:00,1,R_160_200_0_0_exact_25,65.0,244.23076923076923,5.441302485004284
2025-06-05T06:36:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:37:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:37:00+00:00,1,R_120_160_0_0_exact_35,78.0,662.8076923076923,11.995183272312168
2025-06-05T06:37:00+00:00,1,R_160_200_0_0_exact_25,67.0,243.65671641791045,5.4299018792616
2025-06-05T06:37:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:38:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:38:00+00:00,1,R_120_160_0_0_exact_35,78.0,662.8076923076923,11.995183272312168
2025-06-05T06:38:00+00:00,1,R_160_200_0_0_exact_25,71.0,242.81690140845072,5.413212760612911
2025-06-05T06:38:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:39:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:39:00+00:00,1,R_120_160_0_0_exact_35,80.0,672.475,12.12770178270318
2025-06-05T06:39:00+00:00,1,R_160_200_0_0_exact_25,75.0,242.81333333333333,5.413141827823389
2025-06-05T06:39:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:40:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:40:00+00:00,1,R_120_160_0_0_exact_35,82.0,684.1341463414634,12.286299983793183
2025-06-05T06:40:00+00:00,1,R_160_200_0_0_exact_25,77.0,243.1818181818182,5.420466058763932
2025-06-05T06:40:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:41:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:41:00+00:00,1,R_120_160_0_0_exact_35,83.0,689.5301204819277,12.359252108788887
2025-06-05T06:41:00+00:00,1,R_160_200_0_0_exact_25,81.0,242.37037037037038,5.4043340380549685
2025-06-05T06:41:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:42:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:42:00+00:00,1,R_120_160_0_0_exact_35,84.0,694.0833333333334,12.420591130066509
2025-06-05T06:42:00+00:00,1,R_160_200_0_0_exact_25,85.0,241.5529411764706,5.3880712951105325
2025-06-05T06:42:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:43:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:43:00+00:00,1,R_120_160_0_0_exact_35,86.0,704.8953488372093,12.565448281866006
2025-06-05T06:43:00+00:00,1,R_160_200_0_0_exact_25,87.0,240.8505747126437,5.374088246458139
2025-06-05T06:43:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:44:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:44:00+00:00,1,R_120_160_0_0_exact_35,88.0,713.7727272727273,12.683553301132417
2025-06-05T06:44:00+00:00,1,R_160_200_0_0_exact_25,91.0,239.83516483516485,5.353857475775788
2025-06-05T06:44:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:45:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:45:00+00:00,1,R_120_160_0_0_exact_35,90.0,721.3555555555556,12.783847008136357
2025-06-05T06:45:00+00:00,1,R_160_200_0_0_exact_25,95.0,241.76842105263157,5.392359415499042
2025-06-05T06:45:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:46:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:46:00+00:00,1,R_120_160_0_0_exact_35,90.0,721.3555555555556,12.783847008136357
2025-06-05T06:46:00+00:00,1,R_160_200_0_0_exact_25,99.0,241.74747474747474,5.391942613311224
2025-06-05T06:46:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:47:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:47:00+00:00,1,R_120_160_0_0_exact_35,92.0,729.6847826086956,12.893393410696383
2025-06-05T06:47:00+00:00,1,R_160_200_0_0_exact_25,101.0,241.82178217821783,5.393421192099777
2025-06-05T06:47:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:48:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:48:00+00:00,1,R_120_160_0_0_exact_35,94.0,737.7659574468086,12.999062792877226
2025-06-05T06:48:00+00:00,1,R_160_200_0_0_exact_25,105.0,240.84761904761905,5.374029385139126
2025-06-05T06:48:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:49:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:49:00+00:00,1,R_120_160_0_0_exact_35,96.0,746.6041666666666,13.11394424643398
2025-06-05T06:49:00+00:00,1,R_160_200_0_0_exact_25,109.0,240.5137614678899,5.367379696661971
2025-06-05T06:49:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:50:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:50:00+00:00,1,R_120_160_0_0_exact_35,98.0,753.795918367347,13.206899510855575
2025-06-05T06:50:00+00:00,1,R_160_200_0_0_exact_25,111.0,240.1891891891892,5.360913050297393
2025-06-05T06:50:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:51:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:51:00+00:00,1,R_120_160_0_0_exact_35,100.0,759.43,13.279394844427037
2025-06-05T06:51:00+00:00,1,R_160_200_0_0_exact_25,115.0,238.7391304347826,5.331999766949564
2025-06-05T06:51:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:52:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:52:00+00:00,1,R_120_160_0_0_exact_35,102.0,766.6960784313726,13.372468818719371
2025-06-05T06:52:00+00:00,1,R_160_200_0_0_exact_25,118.0,237.16949152542372,5.300659883478669
2025-06-05T06:52:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:53:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:53:00+00:00,1,R_120_160_0_0_exact_35,102.0,766.6960784313726,13.372468818719371
2025-06-05T06:53:00+00:00,1,R_160_200_0_0_exact_25,121.0,236.2396694214876,5.282074024798122
2025-06-05T06:53:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:54:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:54:00+00:00,1,R_120_160_0_0_exact_35,104.0,772.625,13.448065793481573
2025-06-05T06:54:00+00:00,1,R_160_200_0_0_exact_25,123.0,236.0,5.277280858676208
2025-06-05T06:54:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:55:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:55:00+00:00,1,R_120_160_0_0_exact_35,106.0,777.811320754717,13.513938789960925
2025-06-05T06:55:00+00:00,1,R_160_200_0_0_exact_25,126.0,235.4206349206349,5.265689849216972
2025-06-05T06:55:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:56:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:56:00+00:00,1,R_120_160_0_0_exact_35,108.0,783.5648148148148,13.586738380027294
2025-06-05T06:56:00+00:00,1,R_160_200_0_0_exact_25,128.0,235.140625,5.260085704898321
2025-06-05T06:56:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:57:00+00:00,1,R_10_1000_4875_9999_NA_0,11.0,81.36363636363636,1.6150861680050528
2025-06-05T06:57:00+00:00,1,R_120_160_0_0_exact_35,108.0,783.5648148148148,13.586738380027294
2025-06-05T06:57:00+00:00,1,R_160_200_0_0_exact_25,132.0,235.33333333333334,5.263942737846705
2025-06-05T06:57:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:58:00+00:00,1,R_10_1000_4875_9999_NA_0,12.0,76.0,1.5118360851402426
2025-06-05T06:58:00+00:00,1,R_120_160_0_0_exact_35,112.0,786.875,13.628491015371292
2025-06-05T06:58:00+00:00,1,R_160_200_0_0_exact_25,134.0,235.40298507462686,5.265336645033784
2025-06-05T06:58:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T06:59:00+00:00,1,R_10_1000_4875_9999_NA_0,12.0,76.0,1.5118360851402426
2025-06-05T06:59:00+00:00,1,R_120_160_0_0_exact_35,114.0,784.3333333333334,13.596440540852884
2025-06-05T06:59:00+00:00,1,R_160_200_0_0_exact_25,135.0,235.40740740740742,5.265425144144741
2025-06-05T06:59:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T07:00:00+00:00,1,R_10_1000_4875_9999_NA_0,13.0,72.15384615384616,1.437525861672618
2025-06-05T07:00:00+00:00,1,R_120_160_0_0_exact_35,118.0,775.3559322033898,13.482781792674157
2025-06-05T07:00:00+00:00,1,R_160_200_0_0_exact_25,135.0,235.40740740740742,5.265425144144741
2025-06-05T07:00:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T07:01:00+00:00,1,R_10_1000_4875_9999_NA_0,13.0,72.15384615384616,1.437525861672618
2025-06-05T07:01:00+00:00,1,R_120_160_0_0_exact_35,120.0,772.025,13.440429661998069
2025-06-05T07:01:00+00:00,1,R_160_200_0_0_exact_25,135.0,235.40740740740742,5.265425144144741
2025-06-05T07:01:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T07:02:00+00:00,1,R_10_1000_4875_9999_NA_0,14.0,73.35714285714286,1.4607988165680474
2025-06-05T07:02:00+00:00,1,R_120_160_0_0_exact_35,124.0,763.4274193548387,13.330657766887752
2025-06-05T07:02:00+00:00,1,R_160_200_0_0_exact_25,135.0,235.40740740740742,5.265425144144741
2025-06-05T07:02:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T07:03:00+00:00,1,R_10_1000_4875_9999_NA_0,14.0,73.35714285714286,1.4607988165680474
2025-06-05T07:03:00+00:00,1,R_120_160_0_0_exact_35,126.0,761.7301587301587,13.308909584056709
2025-06-05T07:03:00+00:00,1,R_160_200_0_0_exact_25,136.0,235.0,5.257270693512305
2025-06-05T07:03:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T07:04:00+00:00,1,R_10_1000_4875_9999_NA_0,14.0,73.35714285714286,1.4607988165680474
2025-06-05T07:04:00+00:00,1,R_120_160_0_0_exact_35,130.0,761.3230769230769,13.303689525018012
2025-06-05T07:04:00+00:00,1,R_160_200_0_0_exact_25,137.0,234.4014598540146,5.245285237804341
2025-06-05T07:04:00+00:00,1,R_200_250_4875_9999_NA_0,0.0,0.0,0.0
2025-06-05T07:05:00+00:00,1,R_10_1000_4875_9999_NA_0,14.0,73.35714285714286,1.4607988165680474
2025-06-05T07:05:00+00:00,1,R_120_160_0_0_exact_35,133.0,762.9774436090225,13.324894426119293
