ts_minute,program,recipe,batches_min,giveaway_pct,rejects_per_min,pieces_processed,weight_processed_g
2025-06-05T06:00:00+00:00,1,__combined,3.0,9.344346928239545,0.0,114.0,15207.0
2025-06-05T06:01:00+00:00,1,__combined,3.0,8.748035620743845,0.0,129.0,16796.0
2025-06-05T06:02:00+00:00,1,__combined,4.0,8.362248438584317,0.0,137.0,17424.0
2025-06-05T06:03:00+00:00,1,__combined,4.0,6.665674750781133,0.0,139.0,18209.0
2025-06-05T06:04:00+00:00,1,__combined,3.0,9.34959349593496,0.0,145.0,18819.0
2025-06-05T06:05:00+00:00,1,__combined,5.0,6.724433973565468,0.0,124.0,15779.0
2025-06-05T06:06:00+00:00,1,__combined,3.0,5.800093227675301,0.0,142.0,18200.0
2025-06-05T06:07:00+00:00,1,__combined,4.0,8.21311312307233,0.0,137.0,17512.0
2025-06-05T06:08:00+00:00,1,__combined,3.0,6.346596514304505,0.0,103.0,13059.0
2025-06-05T06:09:00+00:00,1,__combined,1.0,1.9704433497536946,0.0,29.0,3436.0
2025-06-05T06:10:00+00:00,1,__combined,2.0,8.125623130608176,0.0,85.0,10986.0
2025-06-05T06:11:00+00:00,1,__combined,3.0,6.358077454138996,0.0,118.0,15373.0
2025-06-05T06:12:00+00:00,1,__combined,3.0,9.312839059674504,0.0,124.0,16194.0
2025-06-05T06:13:00+00:00,1,__combined,4.0,9.434049863039139,0.0,133.0,19350.0
2025-06-05T06:14:00+00:00,1,__combined,4.0,7.402597402597403,0.0,147.0,20514.0
2025-06-05T06:15:00+00:00,1,__combined,3.0,6.329363773932497,0.0,143.0,18912.0
2025-06-05T06:16:00+00:00,1,__combined,5.0,7.5914693797691255,0.0,147.0,19409.0
2025-06-05T06:17:00+00:00,1,__combined,4.0,7.446808510638298,0.0,140.0,18939.0
2025-06-05T06:18:00+00:00,1,__combined,5.0,7.631337873899708,0.0,146.0,22529.0
2025-06-05T06:19:00+00:00,1,__combined,4.0,10.65636695134824,0.0,137.0,21645.0
2025-06-05T06:20:00+00:00,1,__combined,6.0,9.48728166301388,0.0,126.0,19989.0
2025-06-05T06:21:00+00:00,1,__combined,4.0,12.3991195891416,0.0,137.0,22444.0
2025-06-05T06:22:00+00:00,1,__combined,4.0,5.830388692579505,0.0,145.0,23844.0
2025-06-05T06:23:00+00:00,1,__combined,6.0,10.637542750209718,0.0,139.0,22254.0
2025-06-05T06:24:00+00:00,1,__combined,4.0,11.349924585218703,0.0,136.0,21736.0
2025-06-05T06:25:00+00:00,1,__combined,6.0,6.926168962792456,0.0,133.0,21599.0
2025-06-05T06:26:00+00:00,1,__combined,3.0,10.068080649384656,0.0,123.0,18854.0
2025-06-05T06:27:00+00:00,1,__combined,6.0,8.384499931777869,0.0,142.0,22625.0
2025-06-05T06:28:00+00:00,1,__combined,6.0,9.607998940537676,0.0,134.0,22099.0
2025-06-05T06:29:00+00:00,1,__combined,3.0,5.3770638107987505,0.0,133.0,21704.0
2025-06-05T06:30:00+00:00,1,__combined,5.0,11.628169437965541,0.0,129.0,21085.0
2025-06-05T06:31:00+00:00,1,__combined,5.0,8.374546653478404,0.0,139.0,23038.0
2025-06-05T06:32:00+00:00,1,__combined,6.0,8.36200963523744,0.0,143.0,23905.0
2025-06-05T06:33:00+00:00,1,__combined,6.0,10.635002581311307,0.0,143.0,23337.0
2025-06-05T06:34:00+00:00,1,__combined,3.0,10.057621791513881,0.0,123.0,19800.0
2025-06-05T06:35:00+00:00,1,__combined,3.0,10.0262123197903,0.0,122.0,19355.0
2025-06-05T06:36:00+00:00,1,__combined,6.0,9.50341897364403,0.0,128.0,20760.0
2025-06-05T06:37:00+00:00,1,__combined,4.0,11.653572764683876,0.0,132.0,21192.0
2025-06-05T06:38:00+00:00,1,__combined,4.0,5.131800336511497,0.0,132.0,21217.0
2025-06-05T06:39:00+00:00,1,__combined,6.0,10.052390307793058,0.0,116.0,18969.0
2025-06-05T06:40:00+00:00,1,__combined,4.0,12.77802995914662,0.0,139.0,22723.0
2025-06-05T06:41:00+00:00,1,__combined,5.0,8.398550127687617,0.0,139.0,22494.0
2025-06-05T06:42:00+00:00,1,__combined,5.0,8.167660702451956,0.0,136.0,22201.0
2025-06-05T06:43:00+00:00,1,__combined,4.0,12.522851919561242,0.0,136.0,21926.0
2025-06-05T06:44:00+00:00,1,__combined,6.0,10.031450661774342,0.0,147.0,23951.0
2025-06-05T06:45:00+00:00,1,__combined,6.0,10.525464311136997,0.0,144.0,23412.0
2025-06-05T06:46:00+00:00,1,__combined,4.0,5.382041271611824,0.0,138.0,22561.0
2025-06-05T06:47:00+00:00,1,__combined,4.0,12.385321100917432,0.0,145.0,23509.0
2025-06-05T06:48:00+00:00,1,__combined,6.0,10.088981941900025,0.0,139.0,22765.0
