,Date,Time,Programname,Class,Gate,Type,Weight,BatchCount,BatchWeight,file_order,Timestamp,Duration
162,2025-06-11,08:24:28,Programma 1,200-260,3,Batch,4931,*,4875-9999,13397,2025-06-11 08:24:28+00:00,-1.0
268,2025-06-11,08:26:10,Programma 1,200-260,4,Batch,5095,*,4875-9999,13216,2025-06-11 08:26:10+00:00,-1.0
388,2025-06-11,08:27:49,Programma 1,200-260,3,Batch,4962,*,4875-9999,13012,2025-06-11 08:27:49+00:00,-1.0
504,2025-06-11,08:29:16,Programma 1,200-260,4,Batch,5116,*,4875-9999,12861,2025-06-11 08:29:16+00:00,-1.0
659,2025-06-11,08:31:15,Programma 1,200-260,3,Batch,4996,*,4875-9999,12641,2025-06-11 08:31:15+00:00,0.0
738,2025-06-11,08:32:47,Programma 1,200-260,4,Batch,4988,*,4875-9999,12529,2025-06-11 08:32:47+00:00,-1.0
842,2025-06-11,08:35:00,Programma 1,200-260,3,Batch,5004,*,4875-9999,12382,2025-06-11 08:35:00+00:00,0.0
909,2025-06-11,08:36:41,Programma 1,200-260,4,Batch,4935,*,4875-9999,12286,2025-06-11 08:36:41+00:00,-4.0
953,2025-06-11,08:38:06,Programma 1,200-260,3,Batch,5093,*,4875-9999,12235,2025-06-11 08:38:06+00:00,-2.0
993,2025-06-11,08:40:02,Programma 1,200-260,4,Batch,4910,*,4875-9999,12177,2025-06-11 08:40:02+00:00,-2.0
1108,2025-06-11,08:45:46,Programma 1,200-260,3,Batch,5074,*,4875-9999,12005,2025-06-11 08:45:46+00:00,-1.0
1197,2025-06-11,08:49:56,Programma 1,200-260,4,Batch,5102,*,4875-9999,11871,2025-06-11 08:49:56+00:00,-1.0
1291,2025-06-11,08:55:21,Programma 1,200-260,3,Batch,4923,*,4875-9999,11719,2025-06-11 08:55:21+00:00,-1.0
1432,2025-06-11,08:57:05,Programma 1,200-260,4,Batch,4936,*,4875-9999,11520,2025-06-11 08:57:05+00:00,-1.0
1586,2025-06-11,08:58:52,Programma 1,200-260,3,Batch,4940,*,4875-9999,11317,2025-06-11 08:58:52+00:00,-1.0
1711,2025-06-11,09:00:57,Programma 1,200-260,4,Batch,5040,*,4875-9999,11154,2025-06-11 09:00:57+00:00,0.0
1854,2025-06-11,09:02:59,Programma 1,200-260,3,Batch,5031,*,4875-9999,10925,2025-06-11 09:02:59+00:00,-1.0
2011,2025-06-11,09:04:49,Programma 1,200-260,4,Batch,4975,*,4875-9999,10727,2025-06-11 09:04:49+00:00,0.0
2155,2025-06-11,09:06:35,Programma 1,200-260,3,Batch,4926,*,4875-9999,10524,2025-06-11 09:06:35+00:00,0.0
2349,2025-06-11,09:09:01,Programma 1,200-260,4,Batch,4943,*,4875-9999,10251,2025-06-11 09:09:01+00:00,0.0
2549,2025-06-11,09:11:41,Programma 1,200-260,3,Batch,5000,*,4875-9999,9956,2025-06-11 09:11:41+00:00,-1.0
2660,2025-06-11,09:13:00,Programma 1,200-260,4,Batch,5006,*,4875-9999,9802,2025-06-11 09:13:00+00:00,-1.0
2805,2025-06-11,09:14:51,Programma 1,200-260,3,Batch,4885,*,4875-9999,9592,2025-06-11 09:14:51+00:00,-1.0
2968,2025-06-11,09:17:04,Programma 1,200-260,4,Batch,5090,*,4875-9999,9361,2025-06-11 09:17:04+00:00,-1.0
3064,2025-06-11,09:18:09,Programma 1,200-260,3,Batch,4974,*,4875-9999,9239,2025-06-11 09:18:09+00:00,-1.0
3212,2025-06-11,09:20:43,Programma 1,200-260,4,Batch,5117,*,4875-9999,9024,2025-06-11 09:20:43+00:00,-1.0
3380,2025-06-11,09:23:10,Programma 1,200-260,3,Batch,5008,*,4875-9999,8780,2025-06-11 09:23:10+00:00,0.0
3471,2025-06-11,09:24:27,Programma 1,200-260,4,Batch,5032,*,4875-9999,8657,2025-06-11 09:24:27+00:00,-1.0
3636,2025-06-11,09:26:41,Programma 1,200-260,3,Batch,5120,*,4875-9999,8426,2025-06-11 09:26:41+00:00,-2.0
3904,2025-06-11,09:30:46,Programma 1,200-260,4,Batch,4933,*,4875-9999,8053,2025-06-11 09:30:46+00:00,-1.0
4150,2025-06-11,09:34:08,Programma 1,200-260,3,Batch,4962,*,4875-9999,7726,2025-06-11 09:34:08+00:00,-1.0
4199,2025-06-11,09:34:41,Programma 1,200-260,4,Batch,4910,*,4875-9999,7668,2025-06-11 09:34:41+00:00,-2.0
4272,2025-06-11,09:35:44,Programma 1,200-260,3,Batch,4968,*,4875-9999,7576,2025-06-11 09:35:44+00:00,-2.0
4348,2025-06-11,09:36:31,Programma 1,200-260,4,Batch,5095,*,4875-9999,7494,2025-06-11 09:36:31+00:00,-1.0
4396,2025-06-11,09:36:59,Programma 1,200-260,3,Batch,5012,*,4875-9999,7447,2025-06-11 09:36:59+00:00,0.0
4470,2025-06-11,09:37:47,Programma 1,200-260,4,Batch,5113,*,4875-9999,7368,2025-06-11 09:37:47+00:00,-1.0
4507,2025-06-11,09:38:07,Programma 1,200-260,3,Batch,5085,*,4875-9999,7327,2025-06-11 09:38:07+00:00,-1.0
4609,2025-06-11,09:39:08,Programma 1,200-260,4,Batch,5070,*,4875-9999,7222,2025-06-11 09:39:08+00:00,0.0
4645,2025-06-11,09:39:30,Programma 1,200-260,3,Batch,5071,*,4875-9999,7184,2025-06-11 09:39:30+00:00,-1.0
4686,2025-06-11,09:39:49,Programma 1,200-260,4,Batch,5053,*,4875-9999,7141,2025-06-11 09:39:49+00:00,-2.0
4729,2025-06-11,09:40:13,Programma 1,200-260,3,Batch,5106,*,4875-9999,7098,2025-06-11 09:40:13+00:00,0.0
4793,2025-06-11,09:40:54,Programma 1,200-260,4,Batch,5094,*,4875-9999,7025,2025-06-11 09:40:54+00:00,-2.0
4815,2025-06-11,09:41:06,Programma 1,200-260,3,Batch,4988,*,4875-9999,7004,2025-06-11 09:41:06+00:00,0.0
4880,2025-06-11,09:41:58,Programma 1,200-260,4,Batch,5036,*,4875-9999,6925,2025-06-11 09:41:58+00:00,0.0
4930,2025-06-11,09:42:30,Programma 1,200-260,3,Batch,5021,*,4875-9999,6867,2025-06-11 09:42:30+00:00,0.0
5095,2025-06-11,09:45:16,Programma 1,200-260,4,Batch,4918,*,4875-9999,6653,2025-06-11 09:45:16+00:00,0.0
5127,2025-06-11,09:45:48,Programma 1,200-260,3,Batch,5043,*,4875-9999,6605,2025-06-11 09:45:48+00:00,0.0
5203,2025-06-11,09:46:36,Programma 1,200-260,4,Batch,4945,*,4875-9999,6516,2025-06-11 09:46:36+00:00,-1.0
5228,2025-06-11,09:46:51,Programma 1,200-260,3,Batch,5027,*,4875-9999,6488,2025-06-11 09:46:51+00:00,-1.0
5279,2025-06-11,09:47:20,Programma 1,200-260,4,Batch,4885,*,4875-9999,6434,2025-06-11 09:47:20+00:00,0.0
5292,2025-06-11,09:47:29,Programma 1,200-260,3,Batch,4987,*,4875-9999,6418,2025-06-11 09:47:29+00:00,-1.0
5360,2025-06-11,09:48:04,Programma 1,200-260,4,Batch,5073,*,4875-9999,6346,2025-06-11 09:48:04+00:00,-1.0
5368,2025-06-11,09:48:08,Programma 1,200-260,3,Batch,4988,*,4875-9999,6338,2025-06-11 09:48:08+00:00,0.0
5458,2025-06-11,09:49:07,Programma 1,200-260,4,Batch,4961,*,4875-9999,6226,2025-06-11 09:49:07+00:00,-1.0
5511,2025-06-11,09:49:41,Programma 1,200-260,3,Batch,5068,*,4875-9999,6162,2025-06-11 09:49:41+00:00,0.0
5588,2025-06-11,09:50:24,Programma 1,200-260,4,Batch,5094,*,4875-9999,6077,2025-06-11 09:50:24+00:00,-1.0
5614,2025-06-11,09:50:37,Programma 1,200-260,3,Batch,5055,*,4875-9999,6049,2025-06-11 09:50:37+00:00,-2.0
5694,2025-06-11,09:51:22,Programma 1,200-260,4,Batch,4935,*,4875-9999,5961,2025-06-11 09:51:22+00:00,-1.0
5706,2025-06-11,09:51:28,Programma 1,200-260,3,Batch,5002,*,4875-9999,5950,2025-06-11 09:51:28+00:00,0.0
5761,2025-06-11,09:51:56,Programma 1,200-260,4,Batch,4907,*,4875-9999,5889,2025-06-11 09:51:56+00:00,-1.0
