,Date,Time,Programname,Class,Gate,Type,Weight,BatchCount,BatchWeight,file_order,Timestamp,Duration
136,2025-06-16,09:11:35,Programma 1,10-1000,8,Batch,4943,*,4855-9999,49477,2025-06-16 09:11:35+00:00,0.0
336,2025-06-16,09:13:04,Programma 1,10-1000,8,Batch,5024,*,4855-9999,49265,2025-06-16 09:13:04+00:00,-1.0
465,2025-06-16,09:13:59,Programma 1,10-1000,8,Batch,4929,*,4855-9999,49127,2025-06-16 09:13:59+00:00,-1.0
582,2025-06-16,09:14:47,Programma 1,10-1000,8,Batch,4931,*,4855-9999,49007,2025-06-16 09:14:47+00:00,0.0
845,2025-06-16,09:16:48,Programma 1,10-1000,8,Batch,5030,*,4855-9999,48712,2025-06-16 09:16:48+00:00,-1.0
1178,2025-06-16,09:19:15,Programma 1,10-1000,8,Batch,4912,*,4855-9999,48360,2025-06-16 09:19:15+00:00,0.0
1340,2025-06-16,09:20:27,Programma 1,10-1000,8,Batch,4887,*,4855-9999,48186,2025-06-16 09:20:27+00:00,-2.0
1662,2025-06-16,09:23:00,Programma 1,10-1000,8,Batch,5039,*,4855-9999,47847,2025-06-16 09:23:00+00:00,0.0
1913,2025-06-16,09:24:53,Programma 1,10-1000,8,Batch,4984,*,4855-9999,47574,2025-06-16 09:24:53+00:00,0.0
2071,2025-06-16,09:26:01,Programma 1,10-1000,8,Batch,4947,*,4855-9999,47406,2025-06-16 09:26:01+00:00,0.0
2445,2025-06-16,09:28:49,Programma 1,10-1000,8,Batch,4968,*,4855-9999,47003,2025-06-16 09:28:49+00:00,-1.0
2811,2025-06-16,09:31:35,Programma 1,10-1000,8,Batch,5106,*,4855-9999,46616,2025-06-16 09:31:35+00:00,0.0
3118,2025-06-16,09:33:43,Programma 1,10-1000,8,Batch,4970,*,4855-9999,46291,2025-06-16 09:33:43+00:00,-1.0
3349,2025-06-16,09:35:24,Programma 1,10-1000,8,Batch,4978,*,4855-9999,46048,2025-06-16 09:35:24+00:00,0.0
3604,2025-06-16,09:37:07,Programma 1,10-1000,8,Batch,4926,*,4855-9999,45789,2025-06-16 09:37:07+00:00,-1.0
3930,2025-06-16,09:39:28,Programma 1,10-1000,8,Batch,4985,*,4855-9999,45446,2025-06-16 09:39:28+00:00,0.0
4166,2025-06-16,09:41:13,Programma 1,10-1000,8,Batch,4984,*,4855-9999,45191,2025-06-16 09:41:13+00:00,0.0
4491,2025-06-16,09:43:40,Programma 1,10-1000,8,Batch,4992,*,4855-9999,44850,2025-06-16 09:43:40+00:00,0.0
4977,2025-06-16,09:47:01,Programma 1,10-1000,8,Batch,4878,*,4855-9999,44340,2025-06-16 09:47:01+00:00,0.0
5232,2025-06-16,09:48:50,Programma 1,10-1000,8,Batch,4883,*,4855-9999,44071,2025-06-16 09:48:50+00:00,-1.0
5452,2025-06-16,09:50:21,Programma 1,10-1000,8,Batch,5093,*,4855-9999,43843,2025-06-16 09:50:21+00:00,0.0
5828,2025-06-16,09:53:01,Programma 1,10-1000,8,Batch,4935,*,4855-9999,43430,2025-06-16 09:53:01+00:00,0.0
6054,2025-06-16,09:54:38,Programma 1,10-1000,8,Batch,4986,*,4855-9999,43179,2025-06-16 09:54:38+00:00,-2.0
6420,2025-06-16,09:57:17,Programma 1,10-1000,8,Batch,5011,*,4855-9999,42781,2025-06-16 09:57:17+00:00,0.0
6702,2025-06-16,09:59:16,Programma 1,10-1000,8,Batch,4942,*,4855-9999,42478,2025-06-16 09:59:16+00:00,-1.0
6958,2025-06-16,10:01:01,Programma 1,10-1000,8,Batch,4975,*,4855-9999,42206,2025-06-16 10:01:01+00:00,0.0
7201,2025-06-16,10:02:45,Programma 1,10-1000,8,Batch,4859,*,4855-9999,41945,2025-06-16 10:02:45+00:00,0.0
7584,2025-06-16,10:05:35,Programma 1,10-1000,8,Batch,4973,*,4855-9999,41526,2025-06-16 10:05:35+00:00,0.0
7782,2025-06-16,10:07:04,Programma 1,10-1000,8,Batch,5047,*,4855-9999,41303,2025-06-16 10:07:04+00:00,0.0
7914,2025-06-16,10:08:04,Programma 1,10-1000,8,Batch,5073,*,4855-9999,41154,2025-06-16 10:08:04+00:00,-1.0
8231,2025-06-16,10:10:15,Programma 1,10-1000,8,Batch,4856,*,4855-9999,40820,2025-06-16 10:10:15+00:00,0.0
8878,2025-06-16,10:14:51,Programma 1,10-1000,8,Batch,4863,*,4855-9999,40124,2025-06-16 10:14:51+00:00,0.0
9254,2025-06-16,10:17:33,Programma 1,10-1000,8,Batch,5044,*,4855-9999,39712,2025-06-16 10:17:33+00:00,0.0
9395,2025-06-16,10:18:34,Programma 1,10-1000,8,Batch,5040,*,4855-9999,39557,2025-06-16 10:18:34+00:00,-2.0
9499,2025-06-16,10:19:19,Programma 1,10-1000,8,Batch,4905,*,4855-9999,39443,2025-06-16 10:19:19+00:00,0.0
9612,2025-06-16,10:20:11,Programma 1,10-1000,8,Batch,4960,*,4855-9999,39314,2025-06-16 10:20:11+00:00,0.0
9674,2025-06-16,10:20:38,Programma 1,10-1000,8,Batch,4900,*,4855-9999,39243,2025-06-16 10:20:38+00:00,-1.0
9850,2025-06-16,10:21:50,Programma 1,10-1000,8,Batch,4940,*,4855-9999,39061,2025-06-16 10:21:50+00:00,0.0
10068,2025-06-16,10:23:25,Programma 1,10-1000,8,Batch,5063,*,4855-9999,38814,2025-06-16 10:23:25+00:00,0.0
10400,2025-06-16,10:25:49,Programma 1,10-1000,8,Batch,4952,*,4855-9999,38449,2025-06-16 10:25:49+00:00,-1.0
10543,2025-06-16,10:26:48,Programma 1,10-1000,8,Batch,4918,*,4855-9999,38296,2025-06-16 10:26:48+00:00,0.0
10766,2025-06-16,10:28:19,Programma 1,10-1000,8,Batch,4976,*,4855-9999,38057,2025-06-16 10:28:19+00:00,0.0
