,Date,Time,Programname,Class,Gate,Type,Weight,BatchCount,BatchWeight,file_order,Timestamp,Duration
3149,2025-06-12,15:02:41,Programma 1,160-205,4,Batch,4549,25,*,4584,2025-06-12 15:02:41+00:00,-1.0
4463,2025-06-12,15:12:18,Programma 1,160-205,3,Batch,4804,25,*,3213,2025-06-12 15:12:18+00:00,-1.0
5147,2025-06-12,15:17:32,Programma 1,160-205,4,Batch,4712,25,*,2483,2025-06-12 15:17:32+00:00,0.0
6030,2025-06-12,15:23:59,Programma 1,160-205,3,Batch,4842,25,*,1564,2025-06-12 15:23:59+00:00,-1.0
6514,2025-06-12,15:27:56,Programma 1,160-205,4,Batch,4755,25,*,1066,2025-06-12 15:27:56+00:00,0.0
7134,2025-06-12,15:32:26,Programma 1,160-205,3,Batch,4316,25,*,365,2025-06-12 15:32:26+00:00,-2.0
