,Date,Time,Programname,Class,Gate,Type,Weight,BatchCount,BatchWeight,file_order,Timestamp,Duration
1016,2025-06-17,12:50:23,Programma 1,10-1000,8,Batch,5084,*,4875-9999,16827,2025-06-17 12:50:23+00:00,-1.0
1601,2025-06-17,12:54:35,Programma 1,10-1000,8,Batch,4910,*,4875-9999,16210,2025-06-17 12:54:35+00:00,-1.0
2888,2025-06-17,13:03:21,Programma 1,10-1000,8,Batch,5121,*,4875-9999,14870,2025-06-17 13:03:21+00:00,0.0
3728,2025-06-17,13:09:20,Programma 1,10-1000,8,Batch,5054,*,4875-9999,13990,2025-06-17 13:09:20+00:00,0.0
4932,2025-06-17,13:18:23,Programma 1,10-1000,8,Batch,4957,*,4875-9999,12726,2025-06-17 13:18:23+00:00,0.0
5823,2025-06-17,13:24:38,Programma 1,10-1000,8,Batch,4881,*,4875-9999,11786,2025-06-17 13:24:38+00:00,0.0
6549,2025-06-17,13:29:41,Programma 1,10-1000,8,Batch,4971,*,4875-9999,11029,2025-06-17 13:29:41+00:00,0.0
7509,2025-06-17,13:36:27,Programma 1,10-1000,8,Batch,5065,*,4875-9999,10005,2025-06-17 13:36:27+00:00,0.0
8676,2025-06-17,13:45:11,Programma 1,10-1000,8,Batch,4979,*,4875-9999,8717,2025-06-17 13:45:11+00:00,0.0
9566,2025-06-17,13:52:34,Programma 1,10-1000,8,Batch,4996,*,4875-9999,7722,2025-06-17 13:52:34+00:00,0.0
10523,2025-06-17,14:00:41,Programma 1,10-1000,8,Batch,4908,*,4875-9999,6664,2025-06-17 14:00:41+00:00,-1.0
12130,2025-06-17,14:13:58,Programma 1,10-1000,8,Batch,4907,*,4875-9999,4937,2025-06-17 14:13:58+00:00,0.0
13083,2025-06-17,14:22:04,Programma 1,10-1000,8,Batch,5018,*,4875-9999,3895,2025-06-17 14:22:04+00:00,-1.0
13915,2025-06-17,14:28:44,Programma 1,10-1000,8,Batch,4962,*,4875-9999,3016,2025-06-17 14:28:44+00:00,0.0
14196,2025-06-17,14:30:51,Programma 1,10-1000,8,Batch,5006,*,4875-9999,2721,2025-06-17 14:30:51+00:00,0.0
14827,2025-06-17,14:35:20,Programma 1,10-1000,8,Batch,5093,*,4875-9999,2022,2025-06-17 14:35:20+00:00,-2.0
15154,2025-06-17,14:37:47,Programma 1,10-1000,8,Batch,5115,*,4875-9999,1656,2025-06-17 14:37:47+00:00,0.0
15476,2025-06-17,14:40:14,Programma 1,10-1000,8,Batch,4887,*,4875-9999,1281,2025-06-17 14:40:14+00:00,0.0
15706,2025-06-17,14:42:12,Programma 1,10-1000,8,Batch,4893,*,4875-9999,1031,2025-06-17 14:42:12+00:00,0.0
15995,2025-06-17,14:44:30,Programma 1,10-1000,8,Batch,5014,*,4875-9999,739,2025-06-17 14:44:30+00:00,0.0
16220,2025-06-17,14:46:25,Programma 1,10-1000,8,Batch,4950,*,4875-9999,506,2025-06-17 14:46:25+00:00,-1.0
16421,2025-06-17,14:47:49,Programma 1,10-1000,8,Batch,5066,*,4875-9999,296,2025-06-17 14:47:49+00:00,-1.0
16564,2025-06-17,14:49:21,Programma 1,10-1000,8,Batch,5106,*,4875-9999,118,2025-06-17 14:49:21+00:00,0.0
