,Date,Time,Programname,Class,Gate,Type,Weight,BatchCount,BatchWeight,file_order,Timestamp,Duration
238,2025-06-17,12:44:38,Programma 1,120-170,2,Batch,4386,30,*,17680,2025-06-17 12:44:38+00:00,-1.0
300,2025-06-17,12:45:06,Programma 1,120-170,1,Batch,4394,30,*,17608,2025-06-17 12:45:06+00:00,0.0
505,2025-06-17,12:46:41,Programma 1,120-170,2,Batch,4472,30,*,17375,2025-06-17 12:46:41+00:00,0.0
561,2025-06-17,12:47:04,Programma 1,120-170,1,Batch,4323,30,*,17317,2025-06-17 12:47:04+00:00,-1.0
698,2025-06-17,12:48:03,Programma 1,120-170,2,Batch,4287,30,*,17170,2025-06-17 12:48:03+00:00,-1.0
772,2025-06-17,12:48:35,Programma 1,120-170,1,Batch,4254,30,*,17088,2025-06-17 12:48:35+00:00,-1.0
943,2025-06-17,12:49:47,Programma 1,120-170,2,Batch,4349,30,*,16910,2025-06-17 12:49:47+00:00,0.0
1028,2025-06-17,12:50:28,Programma 1,120-170,1,Batch,4446,30,*,16815,2025-06-17 12:50:28+00:00,0.0
1201,2025-06-17,12:51:42,Programma 1,120-170,2,Batch,4345,30,*,16631,2025-06-17 12:51:42+00:00,0.0
1302,2025-06-17,12:52:27,Programma 1,120-170,1,Batch,4386,30,*,16524,2025-06-17 12:52:27+00:00,0.0
1474,2025-06-17,12:53:41,Programma 1,120-170,2,Batch,4417,30,*,16344,2025-06-17 12:53:41+00:00,-1.0
1540,2025-06-17,12:54:10,Programma 1,120-170,1,Batch,4223,30,*,16274,2025-06-17 12:54:10+00:00,0.0
1711,2025-06-17,12:55:19,Programma 1,120-170,2,Batch,4388,30,*,16095,2025-06-17 12:55:19+00:00,-1.0
1794,2025-06-17,12:55:54,Programma 1,120-170,1,Batch,4412,30,*,16002,2025-06-17 12:55:54+00:00,-1.0
1983,2025-06-17,12:57:10,Programma 1,120-170,2,Batch,4312,30,*,15805,2025-06-17 12:57:10+00:00,0.0
2061,2025-06-17,12:57:41,Programma 1,120-170,1,Batch,4386,30,*,15724,2025-06-17 12:57:41+00:00,0.0
2185,2025-06-17,12:58:29,Programma 1,120-170,2,Batch,4401,30,*,15599,2025-06-17 12:58:29+00:00,-2.0
2298,2025-06-17,12:59:16,Programma 1,120-170,1,Batch,4364,30,*,15479,2025-06-17 12:59:16+00:00,-1.0
2444,2025-06-17,13:00:16,Programma 1,120-170,2,Batch,4352,30,*,15332,2025-06-17 13:00:16+00:00,-1.0
2592,2025-06-17,13:01:20,Programma 1,120-170,1,Batch,4448,30,*,15176,2025-06-17 13:01:20+00:00,-1.0
2812,2025-06-17,13:02:51,Programma 1,120-170,2,Batch,4402,30,*,14948,2025-06-17 13:02:51+00:00,-1.0
2898,2025-06-17,13:03:23,Programma 1,120-170,1,Batch,4307,30,*,14864,2025-06-17 13:03:23+00:00,0.0
3064,2025-06-17,13:04:35,Programma 1,120-170,2,Batch,4389,30,*,14684,2025-06-17 13:04:35+00:00,-2.0
3164,2025-06-17,13:05:18,Programma 1,120-170,1,Batch,4278,30,*,14583,2025-06-17 13:05:18+00:00,0.0
3315,2025-06-17,13:06:27,Programma 1,120-170,2,Batch,4402,30,*,14429,2025-06-17 13:06:27+00:00,-1.0
3471,2025-06-17,13:07:34,Programma 1,120-170,1,Batch,4386,30,*,14265,2025-06-17 13:07:34+00:00,0.0
3601,2025-06-17,13:08:26,Programma 1,120-170,2,Batch,4354,30,*,14129,2025-06-17 13:08:26+00:00,0.0
3798,2025-06-17,13:09:50,Programma 1,120-170,1,Batch,4446,30,*,13911,2025-06-17 13:09:50+00:00,0.0
3999,2025-06-17,13:11:21,Programma 1,120-170,2,Batch,4381,30,*,13695,2025-06-17 13:11:21+00:00,-1.0
4137,2025-06-17,13:12:26,Programma 1,120-170,1,Batch,4210,30,*,13555,2025-06-17 13:12:26+00:00,0.0
4265,2025-06-17,13:13:24,Programma 1,120-170,2,Batch,4347,30,*,13425,2025-06-17 13:13:24+00:00,0.0
4435,2025-06-17,13:14:47,Programma 1,120-170,1,Batch,4362,30,*,13247,2025-06-17 13:14:47+00:00,-1.0
4615,2025-06-17,13:16:12,Programma 1,120-170,2,Batch,4421,30,*,13051,2025-06-17 13:16:12+00:00,-2.0
4788,2025-06-17,13:17:25,Programma 1,120-170,1,Batch,4317,30,*,12876,2025-06-17 13:17:25+00:00,-1.0
4928,2025-06-17,13:18:21,Programma 1,120-170,2,Batch,4292,30,*,12730,2025-06-17 13:18:21+00:00,-1.0
5047,2025-06-17,13:19:09,Programma 1,120-170,1,Batch,4388,30,*,12605,2025-06-17 13:19:09+00:00,0.0
5203,2025-06-17,13:20:17,Programma 1,120-170,2,Batch,4263,30,*,12431,2025-06-17 13:20:17+00:00,0.0
5358,2025-06-17,13:21:22,Programma 1,120-170,1,Batch,4424,30,*,12268,2025-06-17 13:21:22+00:00,-1.0
