,Date,Time,Programname,Class,Gate,Type,Weight,BatchCount,BatchWeight,file_order,Timestamp,Duration
6560,2025-06-16,15:55:53,Programma 1,250-300,4,Batch,4910,*,4875-9999,1495,2025-06-16 15:55:53+00:00,-1.0
6689,2025-06-16,15:56:51,Programma 1,250-300,5,Batch,5150,*,4875-9999,1355,2025-06-16 15:56:51+00:00,0.0
6814,2025-06-16,15:57:46,Programma 1,250-300,6,Batch,4901,*,4875-9999,1222,2025-06-16 15:57:46+00:00,0.0
6875,2025-06-16,15:58:14,Programma 1,250-300,4,Batch,4933,*,4875-9999,1152,2025-06-16 15:58:14+00:00,0.0
6966,2025-06-16,15:58:50,Programma 1,250-300,5,Batch,4882,*,4875-9999,1059,2025-06-16 15:58:50+00:00,0.0
7197,2025-06-16,16:00:40,Programma 1,250-300,6,Batch,4908,*,4875-9999,813,2025-06-16 16:00:40+00:00,-1.0
7286,2025-06-16,16:01:17,Programma 1,250-300,4,Batch,4908,*,4875-9999,720,2025-06-16 16:01:17+00:00,0.0
7345,2025-06-16,16:01:44,Programma 1,250-300,5,Batch,4883,*,4875-9999,659,2025-06-16 16:01:44+00:00,-1.0
7482,2025-06-16,16:02:51,Programma 1,250-300,6,Batch,4922,*,4875-9999,508,2025-06-16 16:02:51+00:00,-1.0
7536,2025-06-16,16:04:11,Programma 1,250-300,4,Batch,4930,*,4875-9999,454,2025-06-16 16:04:11+00:00,-1.0
7623,2025-06-16,16:05:07,Programma 1,250-300,5,Batch,4914,*,4875-9999,367,2025-06-16 16:05:07+00:00,0.0
7739,2025-06-16,16:06:31,Programma 1,250-300,6,Batch,4900,*,4875-9999,249,2025-06-16 16:06:31+00:00,-1.0
7775,2025-06-16,16:06:48,Programma 1,250-300,4,Batch,4939,*,4875-9999,212,2025-06-16 16:06:48+00:00,-1.0
7833,2025-06-16,16:07:23,Programma 1,250-300,5,Batch,4892,*,4875-9999,148,2025-06-16 16:07:23+00:00,0.0
7886,2025-06-16,16:08:16,Programma 1,250-300,6,Batch,4944,*,4875-9999,35,2025-06-16 16:08:16+00:00,-1.0
