,Date,Time,Programname,Class,Gate,Type,Weight,BatchCount,BatchWeight,file_order,Timestamp,Duration
3401,2025-06-05,09:17:48,Programma 1,200-250,7,Batch,5016,*,4875-9999,26017,2025-06-05 09:17:48+00:00,-1.0
3753,2025-06-05,09:20:46,Programma 1,200-250,6,Batch,5021,*,4875-9999,25659,2025-06-05 09:20:46+00:00,-1.0
3785,2025-06-05,09:21:03,Programma 1,200-250,5,Batch,4960,*,4875-9999,25626,2025-06-05 09:21:03+00:00,-1.0
3790,2025-06-05,09:21:05,Programma 1,200-250,7,Batch,4983,*,4875-9999,25623,2025-06-05 09:21:05+00:00,0.0
3985,2025-06-05,09:22:34,Programma 1,200-250,6,Batch,5009,*,4875-9999,25423,2025-06-05 09:22:34+00:00,0.0
4010,2025-06-05,09:22:45,Programma 1,200-250,5,Batch,5024,*,4875-9999,25397,2025-06-05 09:22:45+00:00,-2.0
4018,2025-06-05,09:22:48,Programma 1,200-250,7,Batch,4974,*,4875-9999,25390,2025-06-05 09:22:48+00:00,-1.0
4248,2025-06-05,09:24:31,Programma 1,200-250,6,Batch,4973,*,4875-9999,25160,2025-06-05 09:24:31+00:00,-1.0
4287,2025-06-05,09:24:48,Programma 1,200-250,5,Batch,5049,*,4875-9999,25121,2025-06-05 09:24:48+00:00,0.0
4290,2025-06-05,09:24:49,Programma 1,200-250,7,Batch,5040,*,4875-9999,25116,2025-06-05 09:24:49+00:00,-1.0
4500,2025-06-05,09:26:21,Programma 1,200-250,6,Batch,4969,*,4875-9999,24902,2025-06-05 09:26:21+00:00,0.0
4523,2025-06-05,09:26:30,Programma 1,200-250,5,Batch,5018,*,4875-9999,24879,2025-06-05 09:26:30+00:00,0.0
4528,2025-06-05,09:26:32,Programma 1,200-250,7,Batch,5039,*,4875-9999,24874,2025-06-05 09:26:32+00:00,0.0
4717,2025-06-05,09:27:58,Programma 1,200-250,6,Batch,5000,*,4875-9999,24681,2025-06-05 09:27:58+00:00,-1.0
4760,2025-06-05,09:28:16,Programma 1,200-250,5,Batch,5017,*,4875-9999,24640,2025-06-05 09:28:16+00:00,0.0
4764,2025-06-05,09:28:17,Programma 1,200-250,7,Batch,5021,*,4875-9999,24634,2025-06-05 09:28:17+00:00,-1.0
4901,2025-06-05,09:29:20,Programma 1,200-250,6,Batch,4971,*,4875-9999,24497,2025-06-05 09:29:20+00:00,-1.0
4918,2025-06-05,09:29:29,Programma 1,200-250,5,Batch,4981,*,4875-9999,24480,2025-06-05 09:29:29+00:00,0.0
4924,2025-06-05,09:29:30,Programma 1,200-250,7,Batch,4989,*,4875-9999,24475,2025-06-05 09:29:30+00:00,0.0
5022,2025-06-05,09:30:22,Programma 1,200-250,6,Batch,4940,*,4875-9999,24375,2025-06-05 09:30:22+00:00,0.0
