,Date,Time,Programname,Class,Gate,Type,Weight,BatchCount,BatchWeight,file_order,Timestamp,Duration
53,2025-06-12,10:15:01,Programma 1,190-250,6,Batch,4904,*,4855-9999,44418,2025-06-12 10:15:01+00:00,-1.0
67,2025-06-12,10:15:07,Programma 1,190-250,5,Batch,5002,*,4855-9999,44405,2025-06-12 10:15:07+00:00,0.0
92,2025-06-12,10:15:20,Programma 1,190-250,7,Batch,4905,*,4855-9999,44376,2025-06-12 10:15:20+00:00,0.0
131,2025-06-12,10:15:42,Programma 1,190-250,6,Batch,5075,*,4855-9999,44321,2025-06-12 10:15:42+00:00,-1.0
145,2025-06-12,10:15:49,Programma 1,190-250,5,Batch,5051,*,4855-9999,44305,2025-06-12 10:15:49+00:00,0.0
170,2025-06-12,10:16:01,Programma 1,190-250,7,Batch,5037,*,4855-9999,44275,2025-06-12 10:16:01+00:00,0.0
216,2025-06-12,10:16:23,Programma 1,190-250,6,Batch,4863,*,4855-9999,44222,2025-06-12 10:16:23+00:00,0.0
231,2025-06-12,10:16:29,Programma 1,190-250,5,Batch,4963,*,4855-9999,44206,2025-06-12 10:16:29+00:00,-1.0
255,2025-06-12,10:16:39,Programma 1,190-250,7,Batch,4917,*,4855-9999,44180,2025-06-12 10:16:39+00:00,-1.0
298,2025-06-12,10:16:59,Programma 1,190-250,6,Batch,4916,*,4855-9999,44137,2025-06-12 10:16:59+00:00,-1.0
314,2025-06-12,10:17:05,Programma 1,190-250,5,Batch,4929,*,4855-9999,44121,2025-06-12 10:17:05+00:00,0.0
341,2025-06-12,10:17:16,Programma 1,190-250,7,Batch,5047,*,4855-9999,44094,2025-06-12 10:17:16+00:00,-2.0
382,2025-06-12,10:17:34,Programma 1,190-250,6,Batch,4903,*,4855-9999,44053,2025-06-12 10:17:34+00:00,0.0
394,2025-06-12,10:17:38,Programma 1,190-250,5,Batch,4966,*,4855-9999,44041,2025-06-12 10:17:38+00:00,-1.0
425,2025-06-12,10:17:51,Programma 1,190-250,7,Batch,4952,*,4855-9999,44008,2025-06-12 10:17:51+00:00,0.0
461,2025-06-12,10:18:06,Programma 1,190-250,6,Batch,4954,*,4855-9999,43972,2025-06-12 10:18:06+00:00,0.0
480,2025-06-12,10:18:14,Programma 1,190-250,5,Batch,5017,*,4855-9999,43952,2025-06-12 10:18:14+00:00,0.0
510,2025-06-12,10:18:25,Programma 1,190-250,7,Batch,5016,*,4855-9999,43922,2025-06-12 10:18:25+00:00,0.0
549,2025-06-12,10:18:42,Programma 1,190-250,6,Batch,4882,*,4855-9999,43877,2025-06-12 10:18:42+00:00,0.0
568,2025-06-12,10:18:50,Programma 1,190-250,5,Batch,5060,*,4855-9999,43856,2025-06-12 10:18:50+00:00,0.0
598,2025-06-12,10:19:02,Programma 1,190-250,7,Batch,5087,*,4855-9999,43821,2025-06-12 10:19:02+00:00,-1.0
633,2025-06-12,10:19:18,Programma 1,190-250,6,Batch,4987,*,4855-9999,43781,2025-06-12 10:19:18+00:00,0.0
650,2025-06-12,10:19:26,Programma 1,190-250,5,Batch,4867,*,4855-9999,43762,2025-06-12 10:19:26+00:00,0.0
681,2025-06-12,10:19:38,Programma 1,190-250,7,Batch,4916,*,4855-9999,43728,2025-06-12 10:19:38+00:00,0.0
714,2025-06-12,10:19:53,Programma 1,190-250,6,Batch,5014,*,4855-9999,43689,2025-06-12 10:19:53+00:00,-1.0
731,2025-06-12,10:20:00,Programma 1,190-250,5,Batch,4913,*,4855-9999,43672,2025-06-12 10:20:00+00:00,0.0
769,2025-06-12,10:20:15,Programma 1,190-250,7,Batch,4970,*,4855-9999,43633,2025-06-12 10:20:15+00:00,-1.0
802,2025-06-12,10:20:29,Programma 1,190-250,6,Batch,4983,*,4855-9999,43596,2025-06-12 10:20:29+00:00,-1.0
813,2025-06-12,10:20:34,Programma 1,190-250,5,Batch,4860,*,4855-9999,43581,2025-06-12 10:20:34+00:00,0.0
853,2025-06-12,10:20:52,Programma 1,190-250,7,Batch,5006,*,4855-9999,43532,2025-06-12 10:20:52+00:00,-1.0
888,2025-06-12,10:21:11,Programma 1,190-250,6,Batch,4855,*,4855-9999,43494,2025-06-12 10:21:11+00:00,-1.0
896,2025-06-12,10:21:15,Programma 1,190-250,5,Batch,4899,*,4855-9999,43487,2025-06-12 10:21:15+00:00,0.0
934,2025-06-12,10:21:32,Programma 1,190-250,7,Batch,4877,*,4855-9999,43446,2025-06-12 10:21:32+00:00,0.0
968,2025-06-12,10:21:49,Programma 1,190-250,6,Batch,4923,*,4855-9999,43411,2025-06-12 10:21:49+00:00,0.0
981,2025-06-12,10:21:55,Programma 1,190-250,5,Batch,5058,*,4855-9999,43395,2025-06-12 10:21:55+00:00,0.0
1019,2025-06-12,10:22:13,Programma 1,190-250,7,Batch,4917,*,4855-9999,43351,2025-06-12 10:22:13+00:00,0.0
1048,2025-06-12,10:22:27,Programma 1,190-250,6,Batch,4960,*,4855-9999,43316,2025-06-12 10:22:27+00:00,0.0
1063,2025-06-12,10:22:32,Programma 1,190-250,5,Batch,5060,*,4855-9999,43302,2025-06-12 10:22:32+00:00,-1.0
1098,2025-06-12,10:22:47,Programma 1,190-250,7,Batch,4875,*,4855-9999,43267,2025-06-12 10:22:47+00:00,0.0
1131,2025-06-12,10:22:59,Programma 1,190-250,6,Batch,4981,*,4855-9999,43233,2025-06-12 10:22:59+00:00,0.0
1140,2025-06-12,10:23:02,Programma 1,190-250,5,Batch,4980,*,4855-9999,43224,2025-06-12 10:23:02+00:00,-1.0
1178,2025-06-12,10:23:19,Programma 1,190-250,7,Batch,5033,*,4855-9999,43184,2025-06-12 10:23:19+00:00,0.0
1210,2025-06-12,10:23:33,Programma 1,190-250,6,Batch,4872,*,4855-9999,43150,2025-06-12 10:23:33+00:00,0.0
1224,2025-06-12,10:23:38,Programma 1,190-250,5,Batch,5050,*,4855-9999,43138,2025-06-12 10:23:38+00:00,0.0
1263,2025-06-12,10:23:55,Programma 1,190-250,7,Batch,5026,*,4855-9999,43096,2025-06-12 10:23:55+00:00,0.0
1296,2025-06-12,10:24:09,Programma 1,190-250,6,Batch,5035,*,4855-9999,43059,2025-06-12 10:24:09+00:00,0.0
1306,2025-06-12,10:24:12,Programma 1,190-250,5,Batch,5046,*,4855-9999,43050,2025-06-12 10:24:12+00:00,0.0
1353,2025-06-12,10:24:36,Programma 1,190-250,7,Batch,4991,*,4855-9999,43000,2025-06-12 10:24:36+00:00,0.0
1390,2025-06-12,10:24:50,Programma 1,190-250,6,Batch,4942,*,4855-9999,42964,2025-06-12 10:24:50+00:00,0.0
1399,2025-06-12,10:24:54,Programma 1,190-250,5,Batch,5036,*,4855-9999,42953,2025-06-12 10:24:54+00:00,-1.0
1440,2025-06-12,10:25:11,Programma 1,190-250,7,Batch,4972,*,4855-9999,42912,2025-06-12 10:25:11+00:00,0.0
1470,2025-06-12,10:25:23,Programma 1,190-250,6,Batch,4927,*,4855-9999,42882,2025-06-12 10:25:23+00:00,0.0
1481,2025-06-12,10:25:27,Programma 1,190-250,5,Batch,4999,*,4855-9999,42871,2025-06-12 10:25:27+00:00,0.0
1523,2025-06-12,10:25:46,Programma 1,190-250,7,Batch,4870,*,4855-9999,42825,2025-06-12 10:25:46+00:00,0.0
1563,2025-06-12,10:26:02,Programma 1,190-250,6,Batch,4976,*,4855-9999,42781,2025-06-12 10:26:02+00:00,0.0
1567,2025-06-12,10:26:03,Programma 1,190-250,5,Batch,4897,*,4855-9999,42776,2025-06-12 10:26:03+00:00,0.0
1611,2025-06-12,10:26:23,Programma 1,190-250,7,Batch,4898,*,4855-9999,42730,2025-06-12 10:26:23+00:00,0.0
1660,2025-06-12,10:26:43,Programma 1,190-250,6,Batch,5036,*,4855-9999,42675,2025-06-12 10:26:43+00:00,-1.0
1662,2025-06-12,10:26:44,Programma 1,190-250,5,Batch,5045,*,4855-9999,42674,2025-06-12 10:26:44+00:00,0.0
1696,2025-06-12,10:26:58,Programma 1,190-250,7,Batch,4867,*,4855-9999,42639,2025-06-12 10:26:58+00:00,-1.0
1748,2025-06-12,10:27:22,Programma 1,190-250,6,Batch,4898,*,4855-9999,42580,2025-06-12 10:27:22+00:00,0.0
1751,2025-06-12,10:27:23,Programma 1,190-250,5,Batch,5078,*,4855-9999,42578,2025-06-12 10:27:23+00:00,0.0
1787,2025-06-12,10:27:40,Programma 1,190-250,7,Batch,4864,*,4855-9999,42538,2025-06-12 10:27:40+00:00,0.0
1835,2025-06-12,10:28:03,Programma 1,190-250,5,Batch,4914,*,4855-9999,42487,2025-06-12 10:28:03+00:00,0.0
1836,2025-06-12,10:28:03,Programma 1,190-250,6,Batch,4968,*,4855-9999,42486,2025-06-12 10:28:03+00:00,0.0
1872,2025-06-12,10:28:18,Programma 1,190-250,7,Batch,5033,*,4855-9999,42447,2025-06-12 10:28:18+00:00,-1.0
1926,2025-06-12,10:28:40,Programma 1,190-250,5,Batch,4867,*,4855-9999,42390,2025-06-12 10:28:40+00:00,-1.0
1933,2025-06-12,10:28:42,Programma 1,190-250,6,Batch,4981,*,4855-9999,42383,2025-06-12 10:28:42+00:00,-1.0
1961,2025-06-12,10:28:56,Programma 1,190-250,7,Batch,4857,*,4855-9999,42351,2025-06-12 10:28:56+00:00,0.0
2023,2025-06-12,10:29:24,Programma 1,190-250,5,Batch,4929,*,4855-9999,42280,2025-06-12 10:29:24+00:00,0.0
2032,2025-06-12,10:29:27,Programma 1,190-250,6,Batch,5051,*,4855-9999,42271,2025-06-12 10:29:27+00:00,0.0
2065,2025-06-12,10:29:43,Programma 1,190-250,7,Batch,4897,*,4855-9999,42233,2025-06-12 10:29:43+00:00,-1.0
2132,2025-06-12,10:30:15,Programma 1,190-250,5,Batch,4886,*,4855-9999,42160,2025-06-12 10:30:15+00:00,-1.0
2139,2025-06-12,10:30:19,Programma 1,190-250,6,Batch,4891,*,4855-9999,42153,2025-06-12 10:30:19+00:00,0.0
2166,2025-06-12,10:30:35,Programma 1,190-250,7,Batch,4887,*,4855-9999,42122,2025-06-12 10:30:35+00:00,0.0
2228,2025-06-12,10:31:08,Programma 1,190-250,5,Batch,4915,*,4855-9999,42056,2025-06-12 10:31:08+00:00,-1.0
2234,2025-06-12,10:31:11,Programma 1,190-250,6,Batch,4918,*,4855-9999,42050,2025-06-12 10:31:11+00:00,0.0
2261,2025-06-12,10:31:22,Programma 1,190-250,7,Batch,4969,*,4855-9999,42021,2025-06-12 10:31:22+00:00,-1.0
2310,2025-06-12,10:31:44,Programma 1,190-250,5,Batch,4860,*,4855-9999,41969,2025-06-12 10:31:44+00:00,-1.0
2323,2025-06-12,10:31:49,Programma 1,190-250,6,Batch,5050,*,4855-9999,41956,2025-06-12 10:31:49+00:00,-1.0
2348,2025-06-12,10:32:01,Programma 1,190-250,7,Batch,5051,*,4855-9999,41930,2025-06-12 10:32:01+00:00,-1.0
2400,2025-06-12,10:32:27,Programma 1,190-250,5,Batch,4973,*,4855-9999,41879,2025-06-12 10:32:27+00:00,-1.0
2410,2025-06-12,10:32:30,Programma 1,190-250,6,Batch,4914,*,4855-9999,41869,2025-06-12 10:32:30+00:00,-1.0
2433,2025-06-12,10:32:39,Programma 1,190-250,7,Batch,4976,*,4855-9999,41846,2025-06-12 10:32:39+00:00,-1.0
2493,2025-06-12,10:33:10,Programma 1,190-250,5,Batch,4968,*,4855-9999,41784,2025-06-12 10:33:10+00:00,0.0
2499,2025-06-12,10:33:13,Programma 1,190-250,6,Batch,4986,*,4855-9999,41777,2025-06-12 10:33:13+00:00,0.0
2516,2025-06-12,10:33:20,Programma 1,190-250,7,Batch,4927,*,4855-9999,41763,2025-06-12 10:33:20+00:00,0.0
