,Date,Time,Programname,Class,Gate,Type,Weight,BatchCount,BatchWeight,file_order,Timestamp,Duration
78,2025-06-05,11:56:36,Programma 2,10-999,8,Batch,4969,,4875-9999,4357,2025-06-05 11:56:36+00:00,0.0
177,2025-06-05,11:57:26,Programma 2,10-999,8,Batch,4918,,4875-9999,4250,2025-06-05 11:57:26+00:00,-1.0
295,2025-06-05,11:58:20,Programma 2,10-999,8,Batch,5125,,4875-9999,4122,2025-06-05 11:58:20+00:00,0.0
349,2025-06-05,11:58:56,Programma 2,10-999,8,Batch,5157,,4875-9999,4047,2025-06-05 11:58:56+00:00,0.0
454,2025-06-05,11:59:39,Programma 2,10-999,8,Batch,4992,,4875-9999,3938,2025-06-05 11:59:39+00:00,-1.0
543,2025-06-05,12:00:23,Programma 2,10-999,8,Batch,5064,,4875-9999,3849,2025-06-05 12:00:23+00:00,0.0
790,2025-06-05,12:02:23,Programma 2,10-999,8,Batch,5089,,4875-9999,3572,2025-06-05 12:02:23+00:00,0.0
1296,2025-06-05,12:06:03,Programma 2,10-999,8,Batch,5048,,4875-9999,3055,2025-06-05 12:06:03+00:00,0.0
1891,2025-06-05,12:11:14,Programma 2,10-999,8,Batch,5108,,4875-9999,2453,2025-06-05 12:11:14+00:00,0.0
2527,2025-06-05,12:16:53,Programma 2,10-999,8,Batch,5268,,4875-9999,1797,2025-06-05 12:16:53+00:00,0.0
3672,2025-06-05,12:32:55,Programma 2,10-999,8,Batch,5400,,4875-9999,642,2025-06-05 12:32:55+00:00,-1.0
