,Date,Time,Programname,Class,Gate,Type,Weight,BatchCount,BatchWeight,file_order,Timestamp,Duration
3761,2025-06-12,12:12:36,Programma 1,130-160,2,Batch,5242,35,*,28224,2025-06-12 12:12:36+00:00,0.0
3880,2025-06-12,12:13:24,Programma 1,130-160,1,Batch,5128,35,*,28102,2025-06-12 12:13:24+00:00,-1.0
4001,2025-06-12,12:14:16,Programma 1,130-160,2,Batch,5129,35,*,27977,2025-06-12 12:14:16+00:00,-1.0
4079,2025-06-12,12:14:47,Programma 1,130-160,1,Batch,5196,35,*,27899,2025-06-12 12:14:47+00:00,-1.0
4194,2025-06-12,12:15:35,Programma 1,130-160,2,Batch,5151,35,*,27776,2025-06-12 12:15:35+00:00,-1.0
4298,2025-06-12,12:16:21,Programma 1,130-160,1,Batch,5101,35,*,27666,2025-06-12 12:16:21+00:00,0.0
4422,2025-06-12,12:17:14,Programma 1,130-160,2,Batch,5146,35,*,27535,2025-06-12 12:17:14+00:00,-1.0
4505,2025-06-12,12:17:49,Programma 1,130-160,1,Batch,5227,35,*,27444,2025-06-12 12:17:49+00:00,0.0
4632,2025-06-12,12:18:44,Programma 1,130-160,2,Batch,5206,35,*,27308,2025-06-12 12:18:44+00:00,0.0
4699,2025-06-12,12:19:13,Programma 1,130-160,1,Batch,5108,35,*,27237,2025-06-12 12:19:13+00:00,0.0
4779,2025-06-12,12:19:45,Programma 1,130-160,2,Batch,5126,35,*,27155,2025-06-12 12:19:45+00:00,0.0
4834,2025-06-12,12:20:08,Programma 1,130-160,1,Batch,5058,35,*,27095,2025-06-12 12:20:08+00:00,-1.0
4958,2025-06-12,12:20:58,Programma 1,130-160,2,Batch,5177,35,*,26972,2025-06-12 12:20:58+00:00,-1.0
5054,2025-06-12,12:21:43,Programma 1,130-160,1,Batch,5270,35,*,26872,2025-06-12 12:21:43+00:00,-2.0
5159,2025-06-12,12:22:32,Programma 1,130-160,2,Batch,5275,35,*,26757,2025-06-12 12:22:32+00:00,-1.0
5216,2025-06-12,12:22:56,Programma 1,130-160,1,Batch,5153,35,*,26700,2025-06-12 12:22:56+00:00,-1.0
5329,2025-06-12,12:23:50,Programma 1,130-160,2,Batch,5110,35,*,26581,2025-06-12 12:23:50+00:00,-1.0
5409,2025-06-12,12:24:23,Programma 1,130-160,1,Batch,5111,35,*,26496,2025-06-12 12:24:23+00:00,0.0
5517,2025-06-12,12:25:08,Programma 1,130-160,2,Batch,5147,35,*,26387,2025-06-12 12:25:08+00:00,0.0
5576,2025-06-12,12:25:32,Programma 1,130-160,1,Batch,5134,35,*,26328,2025-06-12 12:25:32+00:00,-1.0
5689,2025-06-12,12:26:39,Programma 1,130-160,2,Batch,5188,35,*,26209,2025-06-12 12:26:39+00:00,-1.0
5782,2025-06-12,12:27:18,Programma 1,130-160,1,Batch,5205,35,*,26112,2025-06-12 12:27:18+00:00,-1.0
5876,2025-06-12,12:28:00,Programma 1,130-160,2,Batch,5195,35,*,26010,2025-06-12 12:28:00+00:00,0.0
5941,2025-06-12,12:28:28,Programma 1,130-160,1,Batch,5249,35,*,25939,2025-06-12 12:28:28+00:00,-1.0
6035,2025-06-12,12:29:09,Programma 1,130-160,2,Batch,5203,35,*,25839,2025-06-12 12:29:09+00:00,-1.0
6109,2025-06-12,12:29:41,Programma 1,130-160,1,Batch,5172,35,*,25763,2025-06-12 12:29:41+00:00,-1.0
6223,2025-06-12,12:30:32,Programma 1,130-160,2,Batch,5208,35,*,25642,2025-06-12 12:30:32+00:00,-1.0
6277,2025-06-12,12:30:59,Programma 1,130-160,1,Batch,5263,35,*,25584,2025-06-12 12:30:59+00:00,0.0
6413,2025-06-12,12:32:02,Programma 1,130-160,2,Batch,5193,35,*,25435,2025-06-12 12:32:02+00:00,-1.0
6470,2025-06-12,12:32:26,Programma 1,130-160,1,Batch,5244,35,*,25374,2025-06-12 12:32:26+00:00,-1.0
6582,2025-06-12,12:33:15,Programma 1,130-160,2,Batch,5174,35,*,25264,2025-06-12 12:33:15+00:00,-1.0
6651,2025-06-12,12:33:45,Programma 1,130-160,1,Batch,5261,35,*,25186,2025-06-12 12:33:45+00:00,-1.0
6759,2025-06-12,12:34:35,Programma 1,130-160,2,Batch,5166,35,*,25069,2025-06-12 12:34:35+00:00,0.0
6829,2025-06-12,12:35:06,Programma 1,130-160,1,Batch,5170,35,*,24995,2025-06-12 12:35:06+00:00,0.0
6918,2025-06-12,12:35:43,Programma 1,130-160,2,Batch,5189,35,*,24904,2025-06-12 12:35:43+00:00,-1.0
6994,2025-06-12,12:36:14,Programma 1,130-160,1,Batch,5180,35,*,24826,2025-06-12 12:36:14+00:00,0.0
7075,2025-06-12,12:36:48,Programma 1,130-160,2,Batch,5179,35,*,24740,2025-06-12 12:36:48+00:00,0.0
7172,2025-06-12,12:37:30,Programma 1,130-160,1,Batch,5174,35,*,24637,2025-06-12 12:37:30+00:00,0.0
7254,2025-06-12,12:38:12,Programma 1,130-160,2,Batch,5166,35,*,24552,2025-06-12 12:38:12+00:00,0.0
7364,2025-06-12,12:39:00,Programma 1,130-160,1,Batch,5171,35,*,24435,2025-06-12 12:39:00+00:00,-1.0
7445,2025-06-12,12:39:39,Programma 1,130-160,2,Batch,5242,35,*,24345,2025-06-12 12:39:39+00:00,-1.0
7569,2025-06-12,12:40:31,Programma 1,130-160,1,Batch,5251,35,*,24215,2025-06-12 12:40:31+00:00,-1.0
7678,2025-06-12,12:41:16,Programma 1,130-160,2,Batch,5244,35,*,24104,2025-06-12 12:41:16+00:00,-2.0
7780,2025-06-12,12:42:01,Programma 1,130-160,1,Batch,5225,35,*,24003,2025-06-12 12:42:01+00:00,0.0
7888,2025-06-12,12:42:48,Programma 1,130-160,2,Batch,5306,35,*,23886,2025-06-12 12:42:48+00:00,0.0
8011,2025-06-12,12:43:42,Programma 1,130-160,1,Batch,5228,35,*,23759,2025-06-12 12:43:42+00:00,0.0
8094,2025-06-12,12:44:17,Programma 1,130-160,2,Batch,5217,35,*,23674,2025-06-12 12:44:17+00:00,0.0
8158,2025-06-12,12:44:48,Programma 1,130-160,1,Batch,5095,35,*,23600,2025-06-12 12:44:48+00:00,-1.0
8244,2025-06-12,12:45:38,Programma 1,130-160,2,Batch,5288,35,*,23510,2025-06-12 12:45:38+00:00,-1.0
8358,2025-06-12,12:46:29,Programma 1,130-160,1,Batch,5232,35,*,23397,2025-06-12 12:46:29+00:00,-1.0
8454,2025-06-12,12:47:14,Programma 1,130-160,2,Batch,5148,35,*,23288,2025-06-12 12:47:14+00:00,-1.0
8564,2025-06-12,12:48:05,Programma 1,130-160,1,Batch,5156,35,*,23164,2025-06-12 12:48:05+00:00,0.0
8646,2025-06-12,12:48:40,Programma 1,130-160,2,Batch,5202,35,*,23077,2025-06-12 12:48:40+00:00,0.0
8729,2025-06-12,12:49:13,Programma 1,130-160,1,Batch,5192,35,*,22992,2025-06-12 12:49:13+00:00,0.0
8800,2025-06-12,12:49:42,Programma 1,130-160,2,Batch,5206,35,*,22917,2025-06-12 12:49:42+00:00,-1.0
8890,2025-06-12,12:50:23,Programma 1,130-160,1,Batch,5161,35,*,22825,2025-06-12 12:50:23+00:00,0.0
8955,2025-06-12,12:50:51,Programma 1,130-160,2,Batch,5285,35,*,22754,2025-06-12 12:50:51+00:00,0.0
9049,2025-06-12,12:51:30,Programma 1,130-160,1,Batch,5248,35,*,22660,2025-06-12 12:51:30+00:00,0.0
9125,2025-06-12,12:52:05,Programma 1,130-160,2,Batch,5262,35,*,22578,2025-06-12 12:52:05+00:00,-1.0
9219,2025-06-12,12:52:44,Programma 1,130-160,1,Batch,5186,35,*,22483,2025-06-12 12:52:44+00:00,0.0
9300,2025-06-12,12:53:24,Programma 1,130-160,2,Batch,5159,35,*,22394,2025-06-12 12:53:24+00:00,-1.0
9372,2025-06-12,12:53:53,Programma 1,130-160,1,Batch,5192,35,*,22321,2025-06-12 12:53:53+00:00,0.0
9427,2025-06-12,12:54:15,Programma 1,130-160,2,Batch,5139,35,*,22262,2025-06-12 12:54:15+00:00,-1.0
9502,2025-06-12,12:54:46,Programma 1,130-160,1,Batch,5049,35,*,22187,2025-06-12 12:54:46+00:00,0.0
9557,2025-06-12,12:55:08,Programma 1,130-160,2,Batch,5163,35,*,22131,2025-06-12 12:55:08+00:00,-1.0
9610,2025-06-12,12:55:32,Programma 1,130-160,1,Batch,5117,35,*,22075,2025-06-12 12:55:32+00:00,0.0
9712,2025-06-12,12:56:13,Programma 1,130-160,2,Batch,5085,35,*,21971,2025-06-12 12:56:13+00:00,0.0
9762,2025-06-12,12:56:35,Programma 1,130-160,1,Batch,5096,35,*,21919,2025-06-12 12:56:35+00:00,0.0
9821,2025-06-12,12:57:01,Programma 1,130-160,2,Batch,4999,35,*,21856,2025-06-12 12:57:01+00:00,-2.0
9867,2025-06-12,12:57:21,Programma 1,130-160,1,Batch,5039,35,*,21807,2025-06-12 12:57:21+00:00,-1.0
9927,2025-06-12,12:57:51,Programma 1,130-160,2,Batch,4997,35,*,21743,2025-06-12 12:57:51+00:00,-1.0
9990,2025-06-12,12:58:18,Programma 1,130-160,1,Batch,5110,35,*,21675,2025-06-12 12:58:18+00:00,-1.0
10044,2025-06-12,12:58:44,Programma 1,130-160,2,Batch,5024,35,*,21620,2025-06-12 12:58:44+00:00,0.0
10102,2025-06-12,12:59:10,Programma 1,130-160,1,Batch,5031,35,*,21555,2025-06-12 12:59:10+00:00,0.0
10159,2025-06-12,12:59:34,Programma 1,130-160,2,Batch,5036,35,*,21496,2025-06-12 12:59:34+00:00,0.0
10213,2025-06-12,12:59:57,Programma 1,130-160,1,Batch,5112,35,*,21435,2025-06-12 12:59:57+00:00,0.0
10276,2025-06-12,13:00:23,Programma 1,130-160,2,Batch,5086,35,*,21371,2025-06-12 13:00:23+00:00,-1.0
10344,2025-06-12,13:00:51,Programma 1,130-160,1,Batch,5070,35,*,21297,2025-06-12 13:00:51+00:00,0.0
10408,2025-06-12,13:01:20,Programma 1,130-160,2,Batch,5081,35,*,21227,2025-06-12 13:01:20+00:00,-1.0
10465,2025-06-12,13:01:47,Programma 1,130-160,1,Batch,5049,35,*,21158,2025-06-12 13:01:47+00:00,-1.0
10526,2025-06-12,13:02:17,Programma 1,130-160,2,Batch,5059,35,*,21091,2025-06-12 13:02:17+00:00,0.0
10578,2025-06-12,13:02:38,Programma 1,130-160,1,Batch,5082,35,*,21037,2025-06-12 13:02:38+00:00,-1.0
10640,2025-06-12,13:03:07,Programma 1,130-160,2,Batch,5143,35,*,20971,2025-06-12 13:03:07+00:00,-1.0
10688,2025-06-12,13:03:27,Programma 1,130-160,1,Batch,5044,35,*,20922,2025-06-12 13:03:27+00:00,0.0
10744,2025-06-12,13:03:51,Programma 1,130-160,2,Batch,5059,35,*,20862,2025-06-12 13:03:51+00:00,-1.0
10799,2025-06-12,13:04:15,Programma 1,130-160,1,Batch,5068,35,*,20807,2025-06-12 13:04:15+00:00,0.0
10867,2025-06-12,13:04:48,Programma 1,130-160,2,Batch,5118,35,*,20728,2025-06-12 13:04:48+00:00,0.0
10904,2025-06-12,13:05:03,Programma 1,130-160,1,Batch,5079,35,*,20689,2025-06-12 13:05:03+00:00,-1.0
10985,2025-06-12,13:05:43,Programma 1,130-160,2,Batch,5082,35,*,20602,2025-06-12 13:05:43+00:00,-2.0
11024,2025-06-12,13:06:01,Programma 1,130-160,1,Batch,5075,35,*,20562,2025-06-12 13:06:01+00:00,0.0
11081,2025-06-12,13:06:25,Programma 1,130-160,2,Batch,5052,35,*,20499,2025-06-12 13:06:25+00:00,-1.0
11133,2025-06-12,13:06:51,Programma 1,130-160,1,Batch,5017,35,*,20447,2025-06-12 13:06:51+00:00,0.0
11215,2025-06-12,13:07:25,Programma 1,130-160,2,Batch,5067,35,*,20366,2025-06-12 13:07:25+00:00,0.0
11260,2025-06-12,13:07:45,Programma 1,130-160,1,Batch,5009,35,*,20318,2025-06-12 13:07:45+00:00,0.0
11318,2025-06-12,13:08:11,Programma 1,130-160,2,Batch,5039,35,*,20259,2025-06-12 13:08:11+00:00,0.0
11359,2025-06-12,13:08:29,Programma 1,130-160,1,Batch,5028,35,*,20214,2025-06-12 13:08:29+00:00,0.0
11412,2025-06-12,13:08:51,Programma 1,130-160,2,Batch,5070,35,*,20162,2025-06-12 13:08:51+00:00,0.0
11466,2025-06-12,13:09:16,Programma 1,130-160,1,Batch,5098,35,*,20099,2025-06-12 13:09:16+00:00,0.0
11519,2025-06-12,13:09:37,Programma 1,130-160,2,Batch,5077,35,*,20043,2025-06-12 13:09:37+00:00,0.0
11578,2025-06-12,13:10:03,Programma 1,130-160,1,Batch,5079,35,*,19980,2025-06-12 13:10:03+00:00,0.0
11645,2025-06-12,13:10:29,Programma 1,130-160,2,Batch,5057,35,*,19913,2025-06-12 13:10:29+00:00,0.0
11695,2025-06-12,13:10:49,Programma 1,130-160,1,Batch,5127,35,*,19863,2025-06-12 13:10:49+00:00,-1.0
11753,2025-06-12,13:11:16,Programma 1,130-160,2,Batch,5129,35,*,19800,2025-06-12 13:11:16+00:00,0.0
11804,2025-06-12,13:11:37,Programma 1,130-160,1,Batch,5070,35,*,19749,2025-06-12 13:11:37+00:00,-1.0
11860,2025-06-12,13:12:01,Programma 1,130-160,2,Batch,5093,35,*,19694,2025-06-12 13:12:01+00:00,-1.0
11927,2025-06-12,13:12:30,Programma 1,130-160,1,Batch,5047,35,*,19623,2025-06-12 13:12:30+00:00,0.0
11986,2025-06-12,13:12:55,Programma 1,130-160,2,Batch,5024,35,*,19564,2025-06-12 13:12:55+00:00,0.0
12055,2025-06-12,13:13:26,Programma 1,130-160,1,Batch,4970,35,*,19479,2025-06-12 13:13:26+00:00,0.0
12115,2025-06-12,13:13:52,Programma 1,130-160,2,Batch,5012,35,*,19410,2025-06-12 13:13:52+00:00,-1.0
12183,2025-06-12,13:14:19,Programma 1,130-160,1,Batch,5060,35,*,19338,2025-06-12 13:14:19+00:00,0.0
12235,2025-06-12,13:14:43,Programma 1,130-160,2,Batch,4998,35,*,19273,2025-06-12 13:14:43+00:00,0.0
12303,2025-06-12,13:15:14,Programma 1,130-160,1,Batch,5034,35,*,19201,2025-06-12 13:15:14+00:00,0.0
12347,2025-06-12,13:15:34,Programma 1,130-160,2,Batch,4876,35,*,19144,2025-06-12 13:15:34+00:00,-1.0
12418,2025-06-12,13:16:08,Programma 1,130-160,1,Batch,5050,35,*,19057,2025-06-12 13:16:08+00:00,-1.0
12460,2025-06-12,13:16:26,Programma 1,130-160,2,Batch,5131,35,*,19011,2025-06-12 13:16:26+00:00,0.0
12539,2025-06-12,13:16:59,Programma 1,130-160,1,Batch,5088,35,*,18925,2025-06-12 13:16:59+00:00,0.0
12568,2025-06-12,13:17:12,Programma 1,130-160,2,Batch,5030,35,*,18891,2025-06-12 13:17:12+00:00,0.0
12655,2025-06-12,13:17:52,Programma 1,130-160,1,Batch,5019,35,*,18788,2025-06-12 13:17:52+00:00,0.0
12699,2025-06-12,13:18:12,Programma 1,130-160,2,Batch,5040,35,*,18733,2025-06-12 13:18:12+00:00,0.0
12788,2025-06-12,13:18:49,Programma 1,130-160,1,Batch,4985,35,*,18636,2025-06-12 13:18:49+00:00,0.0
12832,2025-06-12,13:19:07,Programma 1,130-160,2,Batch,4946,35,*,18589,2025-06-12 13:19:07+00:00,0.0
12924,2025-06-12,13:19:45,Programma 1,130-160,1,Batch,5048,35,*,18487,2025-06-12 13:19:45+00:00,0.0
12954,2025-06-12,13:19:57,Programma 1,130-160,2,Batch,5048,35,*,18452,2025-06-12 13:19:57+00:00,0.0
13029,2025-06-12,13:20:28,Programma 1,130-160,1,Batch,5106,35,*,18372,2025-06-12 13:20:28+00:00,0.0
13069,2025-06-12,13:20:45,Programma 1,130-160,2,Batch,5113,35,*,18328,2025-06-12 13:20:45+00:00,0.0
13140,2025-06-12,13:21:18,Programma 1,130-160,1,Batch,5036,35,*,18247,2025-06-12 13:21:18+00:00,-1.0
13187,2025-06-12,13:21:37,Programma 1,130-160,2,Batch,5018,35,*,18198,2025-06-12 13:21:37+00:00,-1.0
