,Date,Time,Programname,Class,Gate,Type,Weight,BatchCount,BatchWeight,file_order,Timestamp,Duration
115,2025-06-05,10:54:56,Programma 2,250-285,3,Batch,5087,,4875-9999,12773,2025-06-05 10:54:56+00:00,-1.0
120,2025-06-05,10:54:58,Programma 2,250-285,4,Batch,4945,,4875-9999,12767,2025-06-05 10:54:58+00:00,0.0
122,2025-06-05,10:54:58,Programma 2,250-285,5,Batch,5085,,4875-9999,12765,2025-06-05 10:54:58+00:00,0.0
193,2025-06-05,10:55:34,Programma 2,250-285,3,Batch,4966,,4875-9999,12686,2025-06-05 10:55:34+00:00,0.0
198,2025-06-05,10:55:35,Programma 2,250-285,4,Batch,5040,,4875-9999,12680,2025-06-05 10:55:35+00:00,0.0
200,2025-06-05,10:55:36,Programma 2,250-285,5,Batch,5021,,4875-9999,12678,2025-06-05 10:55:36+00:00,0.0
269,2025-06-05,10:56:14,Programma 2,250-285,4,Batch,4880,,4875-9999,12597,2025-06-05 10:56:14+00:00,0.0
270,2025-06-05,10:56:14,Programma 2,250-285,3,Batch,5081,,4875-9999,12596,2025-06-05 10:56:14+00:00,-1.0
275,2025-06-05,10:56:16,Programma 2,250-285,5,Batch,5103,,4875-9999,12591,2025-06-05 10:56:16+00:00,-1.0
361,2025-06-05,10:56:59,Programma 2,250-285,4,Batch,5064,,4875-9999,12487,2025-06-05 10:56:59+00:00,-1.0
367,2025-06-05,10:57:02,Programma 2,250-285,3,Batch,5091,,4875-9999,12481,2025-06-05 10:57:02+00:00,0.0
373,2025-06-05,10:57:03,Programma 2,250-285,5,Batch,5079,,4875-9999,12475,2025-06-05 10:57:03+00:00,-1.0
456,2025-06-05,10:57:38,Programma 2,250-285,4,Batch,5054,,4875-9999,12388,2025-06-05 10:57:38+00:00,-1.0
466,2025-06-05,10:57:42,Programma 2,250-285,3,Batch,5049,,4875-9999,12379,2025-06-05 10:57:42+00:00,0.0
475,2025-06-05,10:57:45,Programma 2,250-285,5,Batch,5033,,4875-9999,12369,2025-06-05 10:57:45+00:00,-1.0
552,2025-06-05,10:58:16,Programma 2,250-285,4,Batch,5106,,4875-9999,12291,2025-06-05 10:58:16+00:00,-1.0
557,2025-06-05,10:58:18,Programma 2,250-285,3,Batch,5091,,4875-9999,12287,2025-06-05 10:58:18+00:00,-1.0
565,2025-06-05,10:58:21,Programma 2,250-285,5,Batch,5109,,4875-9999,12279,2025-06-05 10:58:21+00:00,0.0
635,2025-06-05,10:58:50,Programma 2,250-285,4,Batch,4975,,4875-9999,12209,2025-06-05 10:58:50+00:00,-1.0
642,2025-06-05,10:58:52,Programma 2,250-285,3,Batch,5084,,4875-9999,12203,2025-06-05 10:58:52+00:00,0.0
646,2025-06-05,10:58:54,Programma 2,250-285,5,Batch,5060,,4875-9999,12198,2025-06-05 10:58:54+00:00,0.0
729,2025-06-05,10:59:27,Programma 2,250-285,4,Batch,5064,,4875-9999,12111,2025-06-05 10:59:27+00:00,-1.0
736,2025-06-05,10:59:30,Programma 2,250-285,3,Batch,5122,,4875-9999,12106,2025-06-05 10:59:30+00:00,0.0
741,2025-06-05,10:59:32,Programma 2,250-285,5,Batch,5113,,4875-9999,12101,2025-06-05 10:59:32+00:00,0.0
812,2025-06-05,11:00:03,Programma 2,250-285,4,Batch,5006,,4875-9999,12024,2025-06-05 11:00:03+00:00,0.0
817,2025-06-05,11:00:05,Programma 2,250-285,3,Batch,4999,,4875-9999,12016,2025-06-05 11:00:05+00:00,-1.0
829,2025-06-05,11:00:09,Programma 2,250-285,5,Batch,5056,,4875-9999,12005,2025-06-05 11:00:09+00:00,0.0
920,2025-06-05,11:00:45,Programma 2,250-285,4,Batch,5071,,4875-9999,11910,2025-06-05 11:00:45+00:00,-1.0
928,2025-06-05,11:00:47,Programma 2,250-285,3,Batch,5058,,4875-9999,11904,2025-06-05 11:00:47+00:00,0.0
937,2025-06-05,11:00:50,Programma 2,250-285,5,Batch,5084,,4875-9999,11898,2025-06-05 11:00:50+00:00,0.0
1026,2025-06-05,11:01:25,Programma 2,250-285,4,Batch,5047,,4875-9999,11807,2025-06-05 11:01:25+00:00,0.0
1034,2025-06-05,11:01:27,Programma 2,250-285,3,Batch,4967,,4875-9999,11798,2025-06-05 11:01:27+00:00,-1.0
1037,2025-06-05,11:01:29,Programma 2,250-285,5,Batch,5059,,4875-9999,11796,2025-06-05 11:01:29+00:00,0.0
1143,2025-06-05,11:02:10,Programma 2,250-285,4,Batch,4976,,4875-9999,11684,2025-06-05 11:02:10+00:00,-1.0
1149,2025-06-05,11:02:12,Programma 2,250-285,3,Batch,5112,,4875-9999,11678,2025-06-05 11:02:12+00:00,0.0
1153,2025-06-05,11:02:13,Programma 2,250-285,5,Batch,5136,,4875-9999,11672,2025-06-05 11:02:13+00:00,-1.0
1249,2025-06-05,11:02:50,Programma 2,250-285,4,Batch,5099,,4875-9999,11578,2025-06-05 11:02:50+00:00,0.0
1260,2025-06-05,11:02:54,Programma 2,250-285,3,Batch,5075,,4875-9999,11567,2025-06-05 11:02:54+00:00,-1.0
1265,2025-06-05,11:02:56,Programma 2,250-285,5,Batch,5029,,4875-9999,11562,2025-06-05 11:02:56+00:00,0.0
1346,2025-06-05,11:03:27,Programma 2,250-285,4,Batch,5048,,4875-9999,11480,2025-06-05 11:03:27+00:00,0.0
1355,2025-06-05,11:03:30,Programma 2,250-285,3,Batch,4909,,4875-9999,11470,2025-06-05 11:03:30+00:00,-1.0
1366,2025-06-05,11:03:34,Programma 2,250-285,5,Batch,5100,,4875-9999,11459,2025-06-05 11:03:34+00:00,-1.0
1455,2025-06-05,11:04:10,Programma 2,250-285,4,Batch,5095,,4875-9999,11370,2025-06-05 11:04:10+00:00,0.0
1471,2025-06-05,11:04:17,Programma 2,250-285,3,Batch,5084,,4875-9999,11350,2025-06-05 11:04:17+00:00,-1.0
1478,2025-06-05,11:04:19,Programma 2,250-285,5,Batch,5028,,4875-9999,11343,2025-06-05 11:04:19+00:00,-1.0
1560,2025-06-05,11:04:54,Programma 2,250-285,4,Batch,5048,,4875-9999,11255,2025-06-05 11:04:54+00:00,-1.0
1569,2025-06-05,11:04:59,Programma 2,250-285,3,Batch,5009,,4875-9999,11244,2025-06-05 11:04:59+00:00,0.0
1581,2025-06-05,11:05:03,Programma 2,250-285,5,Batch,5066,,4875-9999,11232,2025-06-05 11:05:03+00:00,-1.0
1648,2025-06-05,11:05:31,Programma 2,250-285,4,Batch,5032,,4875-9999,11163,2025-06-05 11:05:31+00:00,0.0
1662,2025-06-05,11:05:35,Programma 2,250-285,3,Batch,5061,,4875-9999,11149,2025-06-05 11:05:35+00:00,0.0
1665,2025-06-05,11:05:36,Programma 2,250-285,5,Batch,4884,,4875-9999,11143,2025-06-05 11:05:36+00:00,-1.0
1776,2025-06-05,11:06:19,Programma 2,250-285,4,Batch,5058,,4875-9999,11031,2025-06-05 11:06:19+00:00,0.0
1784,2025-06-05,11:06:22,Programma 2,250-285,3,Batch,4928,,4875-9999,11023,2025-06-05 11:06:22+00:00,-1.0
1793,2025-06-05,11:06:25,Programma 2,250-285,5,Batch,5046,,4875-9999,11014,2025-06-05 11:06:25+00:00,0.0
1882,2025-06-05,11:07:00,Programma 2,250-285,4,Batch,5107,,4875-9999,10923,2025-06-05 11:07:00+00:00,-1.0
1890,2025-06-05,11:07:02,Programma 2,250-285,3,Batch,5121,,4875-9999,10915,2025-06-05 11:07:02+00:00,0.0
1898,2025-06-05,11:07:06,Programma 2,250-285,5,Batch,5100,,4875-9999,10906,2025-06-05 11:07:06+00:00,0.0
