,Date,Time,Programname,Class,Gate,Type,Weight,BatchCount,BatchWeight,file_order,Timestamp,Duration
83,2025-06-16,07:49:18,Programma 1,160-195,3,Batch,4422,25,*,61979,2025-06-16 07:49:18+00:00,-1.0
89,2025-06-16,07:49:20,Programma 1,160-195,4,Batch,4393,25,*,61974,2025-06-16 07:49:20+00:00,-1.0
155,2025-06-16,07:49:51,Programma 1,160-195,3,Batch,4469,25,*,61890,2025-06-16 07:49:51+00:00,0.0
166,2025-06-16,07:49:55,Programma 1,160-195,4,Batch,4417,25,*,61878,2025-06-16 07:49:55+00:00,-1.0
249,2025-06-16,07:50:39,Programma 1,160-195,3,Batch,4423,25,*,61770,2025-06-16 07:50:39+00:00,-1.0
256,2025-06-16,07:50:42,Programma 1,160-195,4,Batch,4479,25,*,61761,2025-06-16 07:50:42+00:00,0.0
341,2025-06-16,07:51:21,Programma 1,160-195,3,Batch,4438,25,*,61660,2025-06-16 07:51:21+00:00,0.0
346,2025-06-16,07:51:22,Programma 1,160-195,4,Batch,4466,25,*,61655,2025-06-16 07:51:22+00:00,0.0
432,2025-06-16,07:51:58,Programma 1,160-195,3,Batch,4420,25,*,61565,2025-06-16 07:51:58+00:00,-1.0
441,2025-06-16,07:52:02,Programma 1,160-195,4,Batch,4543,25,*,61556,2025-06-16 07:52:02+00:00,0.0
518,2025-06-16,07:52:38,Programma 1,160-195,3,Batch,4456,25,*,61466,2025-06-16 07:52:38+00:00,0.0
529,2025-06-16,07:52:42,Programma 1,160-195,4,Batch,4452,25,*,61453,2025-06-16 07:52:42+00:00,-1.0
601,2025-06-16,07:53:16,Programma 1,160-195,3,Batch,4493,25,*,61367,2025-06-16 07:53:16+00:00,0.0
611,2025-06-16,07:53:20,Programma 1,160-195,4,Batch,4424,25,*,61353,2025-06-16 07:53:20+00:00,-1.0
683,2025-06-16,07:53:51,Programma 1,160-195,3,Batch,4415,25,*,61280,2025-06-16 07:53:51+00:00,0.0
691,2025-06-16,07:53:53,Programma 1,160-195,4,Batch,4506,25,*,61271,2025-06-16 07:53:53+00:00,0.0
760,2025-06-16,07:54:22,Programma 1,160-195,3,Batch,4420,25,*,61200,2025-06-16 07:54:22+00:00,0.0
764,2025-06-16,07:54:23,Programma 1,160-195,4,Batch,4497,25,*,61194,2025-06-16 07:54:23+00:00,-1.0
844,2025-06-16,07:54:58,Programma 1,160-195,3,Batch,4448,25,*,61109,2025-06-16 07:54:58+00:00,0.0
851,2025-06-16,07:55:01,Programma 1,160-195,4,Batch,4451,25,*,61099,2025-06-16 07:55:01+00:00,0.0
909,2025-06-16,07:55:24,Programma 1,160-195,3,Batch,4413,25,*,61041,2025-06-16 07:55:24+00:00,0.0
918,2025-06-16,07:55:28,Programma 1,160-195,4,Batch,4420,25,*,61030,2025-06-16 07:55:28+00:00,0.0
979,2025-06-16,07:55:54,Programma 1,160-195,3,Batch,4471,25,*,60965,2025-06-16 07:55:54+00:00,0.0
997,2025-06-16,07:56:00,Programma 1,160-195,4,Batch,4447,25,*,60948,2025-06-16 07:56:00+00:00,0.0
1052,2025-06-16,07:56:22,Programma 1,160-195,3,Batch,4467,25,*,60889,2025-06-16 07:56:22+00:00,-1.0
1061,2025-06-16,07:56:25,Programma 1,160-195,4,Batch,4442,25,*,60881,2025-06-16 07:56:25+00:00,-1.0
1128,2025-06-16,07:56:52,Programma 1,160-195,3,Batch,4433,25,*,60812,2025-06-16 07:56:52+00:00,0.0
1140,2025-06-16,07:56:56,Programma 1,160-195,4,Batch,4491,25,*,60798,2025-06-16 07:56:56+00:00,-1.0
1201,2025-06-16,07:57:22,Programma 1,160-195,3,Batch,4480,25,*,60735,2025-06-16 07:57:22+00:00,-1.0
1212,2025-06-16,07:57:28,Programma 1,160-195,4,Batch,4518,25,*,60722,2025-06-16 07:57:28+00:00,0.0
1270,2025-06-16,07:57:51,Programma 1,160-195,3,Batch,4476,25,*,60661,2025-06-16 07:57:51+00:00,-1.0
1289,2025-06-16,07:57:58,Programma 1,160-195,4,Batch,4437,25,*,60645,2025-06-16 07:57:58+00:00,0.0
1346,2025-06-16,07:58:22,Programma 1,160-195,3,Batch,4490,25,*,60581,2025-06-16 07:58:22+00:00,-1.0
1363,2025-06-16,07:58:29,Programma 1,160-195,4,Batch,4418,25,*,60562,2025-06-16 07:58:29+00:00,-1.0
1414,2025-06-16,07:58:50,Programma 1,160-195,3,Batch,4381,25,*,60507,2025-06-16 07:58:50+00:00,0.0
1434,2025-06-16,07:58:58,Programma 1,160-195,4,Batch,4360,25,*,60487,2025-06-16 07:58:58+00:00,0.0
1501,2025-06-16,07:59:27,Programma 1,160-195,3,Batch,4418,25,*,60416,2025-06-16 07:59:27+00:00,0.0
1514,2025-06-16,07:59:32,Programma 1,160-195,4,Batch,4490,25,*,60402,2025-06-16 07:59:32+00:00,-1.0
1575,2025-06-16,07:59:56,Programma 1,160-195,3,Batch,4422,25,*,60343,2025-06-16 07:59:56+00:00,0.0
1588,2025-06-16,08:00:01,Programma 1,160-195,4,Batch,4437,25,*,60328,2025-06-16 08:00:01+00:00,0.0
1638,2025-06-16,08:00:23,Programma 1,160-195,3,Batch,4511,25,*,60273,2025-06-16 08:00:23+00:00,0.0
1649,2025-06-16,08:00:27,Programma 1,160-195,4,Batch,4501,25,*,60262,2025-06-16 08:00:27+00:00,-1.0
1713,2025-06-16,08:00:54,Programma 1,160-195,3,Batch,4452,25,*,60196,2025-06-16 08:00:54+00:00,-1.0
1726,2025-06-16,08:00:58,Programma 1,160-195,4,Batch,4534,25,*,60183,2025-06-16 08:00:58+00:00,-1.0
1787,2025-06-16,08:01:23,Programma 1,160-195,3,Batch,4429,25,*,60122,2025-06-16 08:01:23+00:00,-1.0
1797,2025-06-16,08:01:27,Programma 1,160-195,4,Batch,4460,25,*,60110,2025-06-16 08:01:27+00:00,0.0
1864,2025-06-16,08:01:56,Programma 1,160-195,3,Batch,4456,25,*,60038,2025-06-16 08:01:56+00:00,0.0
1866,2025-06-16,08:01:57,Programma 1,160-195,4,Batch,4477,25,*,60033,2025-06-16 08:01:57+00:00,-1.0
1934,2025-06-16,08:02:24,Programma 1,160-195,3,Batch,4470,25,*,59966,2025-06-16 08:02:24+00:00,0.0
1937,2025-06-16,08:02:25,Programma 1,160-195,4,Batch,4452,25,*,59961,2025-06-16 08:02:25+00:00,-1.0
2003,2025-06-16,08:02:53,Programma 1,160-195,3,Batch,4443,25,*,59890,2025-06-16 08:02:53+00:00,-1.0
2015,2025-06-16,08:02:56,Programma 1,160-195,4,Batch,4489,25,*,59880,2025-06-16 08:02:56+00:00,0.0
2081,2025-06-16,08:03:24,Programma 1,160-195,3,Batch,4449,25,*,59811,2025-06-16 08:03:24+00:00,0.0
2091,2025-06-16,08:03:27,Programma 1,160-195,4,Batch,4435,25,*,59800,2025-06-16 08:03:27+00:00,-1.0
2149,2025-06-16,08:03:51,Programma 1,160-195,3,Batch,4449,25,*,59742,2025-06-16 08:03:51+00:00,0.0
2160,2025-06-16,08:03:55,Programma 1,160-195,4,Batch,4399,25,*,59729,2025-06-16 08:03:55+00:00,0.0
2230,2025-06-16,08:04:24,Programma 1,160-195,3,Batch,4485,25,*,59653,2025-06-16 08:04:24+00:00,0.0
2243,2025-06-16,08:04:28,Programma 1,160-195,4,Batch,4505,25,*,59640,2025-06-16 08:04:28+00:00,-1.0
2292,2025-06-16,08:04:49,Programma 1,160-195,3,Batch,4498,25,*,59589,2025-06-16 08:04:49+00:00,-1.0
2317,2025-06-16,08:04:59,Programma 1,160-195,4,Batch,4505,25,*,59564,2025-06-16 08:04:59+00:00,0.0
2379,2025-06-16,08:05:23,Programma 1,160-195,3,Batch,4468,25,*,59505,2025-06-16 08:05:23+00:00,0.0
2402,2025-06-16,08:05:31,Programma 1,160-195,4,Batch,4432,25,*,59482,2025-06-16 08:05:31+00:00,0.0
2479,2025-06-16,08:06:06,Programma 1,160-195,3,Batch,4448,25,*,59399,2025-06-16 08:06:06+00:00,0.0
2503,2025-06-16,08:06:15,Programma 1,160-195,4,Batch,4356,25,*,59373,2025-06-16 08:06:15+00:00,-1.0
2569,2025-06-16,08:06:47,Programma 1,160-195,3,Batch,4399,25,*,59296,2025-06-16 08:06:47+00:00,-1.0
2593,2025-06-16,08:06:57,Programma 1,160-195,4,Batch,4358,25,*,59269,2025-06-16 08:06:57+00:00,0.0
2683,2025-06-16,08:07:33,Programma 1,160-195,3,Batch,4393,25,*,59180,2025-06-16 08:07:33+00:00,-1.0
2695,2025-06-16,08:07:38,Programma 1,160-195,4,Batch,4361,25,*,59165,2025-06-16 08:07:38+00:00,-1.0
2782,2025-06-16,08:08:11,Programma 1,160-195,3,Batch,4353,25,*,59079,2025-06-16 08:08:11+00:00,-1.0
2807,2025-06-16,08:08:21,Programma 1,160-195,4,Batch,4410,25,*,59052,2025-06-16 08:08:21+00:00,-2.0
2881,2025-06-16,08:08:52,Programma 1,160-195,3,Batch,4419,25,*,58978,2025-06-16 08:08:52+00:00,0.0
2909,2025-06-16,08:09:04,Programma 1,160-195,4,Batch,4423,25,*,58950,2025-06-16 08:09:04+00:00,0.0
2979,2025-06-16,08:09:33,Programma 1,160-195,3,Batch,4376,25,*,58875,2025-06-16 08:09:33+00:00,0.0
3005,2025-06-16,08:09:43,Programma 1,160-195,4,Batch,4365,25,*,58849,2025-06-16 08:09:43+00:00,0.0
3076,2025-06-16,08:10:11,Programma 1,160-195,3,Batch,4368,25,*,58773,2025-06-16 08:10:11+00:00,-1.0
3100,2025-06-16,08:10:21,Programma 1,160-195,4,Batch,4418,25,*,58748,2025-06-16 08:10:21+00:00,0.0
3202,2025-06-16,08:11:03,Programma 1,160-195,3,Batch,4340,25,*,58644,2025-06-16 08:11:03+00:00,0.0
3215,2025-06-16,08:11:08,Programma 1,160-195,4,Batch,4380,25,*,58629,2025-06-16 08:11:08+00:00,0.0
3287,2025-06-16,08:11:38,Programma 1,160-195,3,Batch,4342,25,*,58552,2025-06-16 08:11:38+00:00,-1.0
3301,2025-06-16,08:11:43,Programma 1,160-195,4,Batch,4396,25,*,58539,2025-06-16 08:11:43+00:00,-1.0
3378,2025-06-16,08:12:14,Programma 1,160-195,3,Batch,4410,25,*,58460,2025-06-16 08:12:14+00:00,-1.0
3390,2025-06-16,08:12:19,Programma 1,160-195,4,Batch,4344,25,*,58447,2025-06-16 08:12:19+00:00,-1.0
3478,2025-06-16,08:12:56,Programma 1,160-195,3,Batch,4302,25,*,58357,2025-06-16 08:12:56+00:00,-1.0
3493,2025-06-16,08:13:01,Programma 1,160-195,4,Batch,4366,25,*,58343,2025-06-16 08:13:01+00:00,0.0
3572,2025-06-16,08:13:34,Programma 1,160-195,3,Batch,4432,25,*,58256,2025-06-16 08:13:34+00:00,0.0
3585,2025-06-16,08:13:39,Programma 1,160-195,4,Batch,4413,25,*,58241,2025-06-16 08:13:39+00:00,-1.0
3676,2025-06-16,08:14:18,Programma 1,160-195,3,Batch,4389,25,*,58142,2025-06-16 08:14:18+00:00,0.0
3683,2025-06-16,08:14:21,Programma 1,160-195,4,Batch,4386,25,*,58133,2025-06-16 08:14:21+00:00,-1.0
3776,2025-06-16,08:15:01,Programma 1,160-195,3,Batch,4390,25,*,58033,2025-06-16 08:15:01+00:00,-1.0
3793,2025-06-16,08:15:08,Programma 1,160-195,4,Batch,4373,25,*,58016,2025-06-16 08:15:08+00:00,0.0
3883,2025-06-16,08:15:46,Programma 1,160-195,3,Batch,4380,25,*,57918,2025-06-16 08:15:46+00:00,-1.0
3902,2025-06-16,08:15:55,Programma 1,160-195,4,Batch,4402,25,*,57899,2025-06-16 08:15:55+00:00,0.0
3982,2025-06-16,08:16:27,Programma 1,160-195,3,Batch,4418,25,*,57811,2025-06-16 08:16:27+00:00,-1.0
4013,2025-06-16,08:16:40,Programma 1,160-195,4,Batch,4318,25,*,57781,2025-06-16 08:16:40+00:00,0.0
4097,2025-06-16,08:17:13,Programma 1,160-195,3,Batch,4379,25,*,57695,2025-06-16 08:17:13+00:00,-1.0
4122,2025-06-16,08:17:23,Programma 1,160-195,4,Batch,4433,25,*,57669,2025-06-16 08:17:23+00:00,-1.0
4196,2025-06-16,08:17:58,Programma 1,160-195,3,Batch,4357,25,*,57594,2025-06-16 08:17:58+00:00,0.0
4214,2025-06-16,08:18:05,Programma 1,160-195,4,Batch,4367,25,*,57575,2025-06-16 08:18:05+00:00,-1.0
4286,2025-06-16,08:18:34,Programma 1,160-195,3,Batch,4383,25,*,57502,2025-06-16 08:18:34+00:00,0.0
4318,2025-06-16,08:18:46,Programma 1,160-195,4,Batch,4383,25,*,57468,2025-06-16 08:18:46+00:00,-1.0
4407,2025-06-16,08:19:26,Programma 1,160-195,3,Batch,4397,25,*,57372,2025-06-16 08:19:26+00:00,-1.0
4436,2025-06-16,08:19:38,Programma 1,160-195,4,Batch,4398,25,*,57344,2025-06-16 08:19:38+00:00,0.0
4522,2025-06-16,08:20:13,Programma 1,160-195,3,Batch,4305,25,*,57254,2025-06-16 08:20:13+00:00,0.0
4546,2025-06-16,08:20:23,Programma 1,160-195,4,Batch,4371,25,*,57228,2025-06-16 08:20:23+00:00,-1.0
4629,2025-06-16,08:21:00,Programma 1,160-195,3,Batch,4510,25,*,57138,2025-06-16 08:21:00+00:00,0.0
4642,2025-06-16,08:21:05,Programma 1,160-195,4,Batch,4585,25,*,57124,2025-06-16 08:21:05+00:00,0.0
4707,2025-06-16,08:21:35,Programma 1,160-195,3,Batch,4486,25,*,57051,2025-06-16 08:21:35+00:00,-1.0
4737,2025-06-16,08:21:46,Programma 1,160-195,4,Batch,4581,25,*,57022,2025-06-16 08:21:46+00:00,0.0
4801,2025-06-16,08:22:10,Programma 1,160-195,3,Batch,4602,25,*,56956,2025-06-16 08:22:10+00:00,-1.0
4816,2025-06-16,08:22:17,Programma 1,160-195,4,Batch,4546,25,*,56939,2025-06-16 08:22:17+00:00,-1.0
4892,2025-06-16,08:22:50,Programma 1,160-195,3,Batch,4547,25,*,56856,2025-06-16 08:22:50+00:00,0.0
4906,2025-06-16,08:22:56,Programma 1,160-195,4,Batch,4478,25,*,56841,2025-06-16 08:22:56+00:00,0.0
4992,2025-06-16,08:23:32,Programma 1,160-195,3,Batch,4517,25,*,56747,2025-06-16 08:23:32+00:00,-1.0
5000,2025-06-16,08:23:35,Programma 1,160-195,4,Batch,4479,25,*,56737,2025-06-16 08:23:35+00:00,-1.0
5090,2025-06-16,08:24:11,Programma 1,160-195,3,Batch,4487,25,*,56645,2025-06-16 08:24:11+00:00,0.0
5098,2025-06-16,08:24:13,Programma 1,160-195,4,Batch,4557,25,*,56637,2025-06-16 08:24:13+00:00,-1.0
5177,2025-06-16,08:24:46,Programma 1,160-195,3,Batch,4522,25,*,56552,2025-06-16 08:24:46+00:00,-1.0
