,Date,Time,Programname,Class,Gate,Type,Weight,BatchCount,BatchWeight,file_order,Timestamp,Duration
59,2025-06-13,11:13:40,Programma 1,190-280,1,Batch,4984,*,4875-9999,30364,2025-06-13 11:13:40+00:00,0.0
61,2025-06-13,11:13:41,Programma 1,190-280,2,Batch,5019,*,4875-9999,30361,2025-06-13 11:13:41+00:00,0.0
64,2025-06-13,11:13:42,Programma 1,190-280,3,Batch,5103,*,4875-9999,30358,2025-06-13 11:13:42+00:00,-1.0
130,2025-06-13,11:14:15,Programma 1,190-280,1,Batch,4938,*,4875-9999,30278,2025-06-13 11:14:15+00:00,0.0
136,2025-06-13,11:14:17,Programma 1,190-280,2,Batch,4979,*,4875-9999,30271,2025-06-13 11:14:17+00:00,0.0
163,2025-06-13,11:14:29,Programma 1,190-280,3,Batch,4968,*,4875-9999,30245,2025-06-13 11:14:29+00:00,0.0
178,2025-06-13,11:14:38,Programma 1,190-280,1,Batch,4956,*,4875-9999,30221,2025-06-13 11:14:38+00:00,-2.0
200,2025-06-13,11:14:49,Programma 1,190-280,2,Batch,5101,*,4875-9999,30201,2025-06-13 11:14:49+00:00,0.0
248,2025-06-13,11:15:10,Programma 1,190-280,3,Batch,5097,*,4875-9999,30149,2025-06-13 11:15:10+00:00,-1.0
261,2025-06-13,11:15:16,Programma 1,190-280,1,Batch,5020,*,4875-9999,30137,2025-06-13 11:15:16+00:00,0.0
278,2025-06-13,11:15:25,Programma 1,190-280,2,Batch,4991,*,4875-9999,30119,2025-06-13 11:15:25+00:00,-1.0
328,2025-06-13,11:15:47,Programma 1,190-280,3,Batch,5007,*,4875-9999,30067,2025-06-13 11:15:47+00:00,-1.0
338,2025-06-13,11:15:51,Programma 1,190-280,1,Batch,4915,*,4875-9999,30057,2025-06-13 11:15:51+00:00,-1.0
358,2025-06-13,11:16:00,Programma 1,190-280,2,Batch,4970,*,4875-9999,30037,2025-06-13 11:16:00+00:00,-1.0
403,2025-06-13,11:16:23,Programma 1,190-280,3,Batch,4987,*,4875-9999,29992,2025-06-13 11:16:23+00:00,-1.0
417,2025-06-13,11:16:30,Programma 1,190-280,1,Batch,4954,*,4875-9999,29978,2025-06-13 11:16:30+00:00,0.0
441,2025-06-13,11:16:39,Programma 1,190-280,2,Batch,4919,*,4875-9999,29954,2025-06-13 11:16:39+00:00,-1.0
493,2025-06-13,11:17:01,Programma 1,190-280,3,Batch,5004,*,4875-9999,29902,2025-06-13 11:17:01+00:00,-1.0
504,2025-06-13,11:17:05,Programma 1,190-280,1,Batch,5085,*,4875-9999,29891,2025-06-13 11:17:05+00:00,-1.0
517,2025-06-13,11:17:13,Programma 1,190-280,2,Batch,4912,*,4875-9999,29876,2025-06-13 11:17:13+00:00,0.0
572,2025-06-13,11:17:43,Programma 1,190-280,3,Batch,4972,*,4875-9999,29819,2025-06-13 11:17:43+00:00,-1.0
589,2025-06-13,11:17:49,Programma 1,190-280,1,Batch,5127,*,4875-9999,29802,2025-06-13 11:17:49+00:00,-1.0
603,2025-06-13,11:17:57,Programma 1,190-280,2,Batch,5119,*,4875-9999,29789,2025-06-13 11:17:57+00:00,0.0
