,Date,Time,Programname,Class,Gate,Type,Weight,BatchCount,BatchWeight,file_order,Timestamp,Duration
297,2025-06-17,07:03:57,Programma 1,170-190,3,Batch,5048,*,4875-9999,66739,2025-06-17 07:03:57+00:00,-1.0
311,2025-06-17,07:04:03,Programma 1,170-190,4,Batch,5038,*,4875-9999,66725,2025-06-17 07:04:03+00:00,0.0
487,2025-06-17,07:05:10,Programma 1,170-190,3,Batch,4897,*,4875-9999,66549,2025-06-17 07:05:10+00:00,0.0
512,2025-06-17,07:05:19,Programma 1,170-190,4,Batch,5011,*,4875-9999,66524,2025-06-17 07:05:19+00:00,-1.0
629,2025-06-17,07:06:04,Programma 1,170-190,3,Batch,4901,*,4875-9999,66407,2025-06-17 07:06:04+00:00,0.0
663,2025-06-17,07:06:19,Programma 1,170-190,4,Batch,4875,*,4875-9999,66368,2025-06-17 07:06:19+00:00,0.0
836,2025-06-17,07:07:27,Programma 1,170-190,3,Batch,5043,*,4875-9999,66192,2025-06-17 07:07:27+00:00,-1.0
860,2025-06-17,07:07:37,Programma 1,170-190,4,Batch,4876,*,4875-9999,66167,2025-06-17 07:07:37+00:00,0.0
1031,2025-06-17,07:08:43,Programma 1,170-190,3,Batch,5032,*,4875-9999,65993,2025-06-17 07:08:43+00:00,0.0
1041,2025-06-17,07:08:47,Programma 1,170-190,4,Batch,4904,*,4875-9999,65984,2025-06-17 07:08:47+00:00,0.0
1208,2025-06-17,07:09:52,Programma 1,170-190,3,Batch,4902,*,4875-9999,65810,2025-06-17 07:09:52+00:00,0.0
1229,2025-06-17,07:10:00,Programma 1,170-190,4,Batch,5028,*,4875-9999,65789,2025-06-17 07:10:00+00:00,0.0
1349,2025-06-17,07:10:49,Programma 1,170-190,3,Batch,5056,*,4875-9999,65664,2025-06-17 07:10:49+00:00,0.0
1362,2025-06-17,07:10:53,Programma 1,170-190,4,Batch,4879,*,4875-9999,65651,2025-06-17 07:10:53+00:00,0.0
1530,2025-06-17,07:12:01,Programma 1,170-190,3,Batch,4891,*,4875-9999,65473,2025-06-17 07:12:01+00:00,0.0
1538,2025-06-17,07:12:03,Programma 1,170-190,4,Batch,4893,*,4875-9999,65466,2025-06-17 07:12:03+00:00,0.0
1676,2025-06-17,07:12:59,Programma 1,170-190,3,Batch,4891,*,4875-9999,65319,2025-06-17 07:12:59+00:00,-1.0
1684,2025-06-17,07:13:02,Programma 1,170-190,4,Batch,4879,*,4875-9999,65311,2025-06-17 07:13:02+00:00,-1.0
1862,2025-06-17,07:14:14,Programma 1,170-190,3,Batch,4894,*,4875-9999,65128,2025-06-17 07:14:14+00:00,0.0
1867,2025-06-17,07:14:15,Programma 1,170-190,4,Batch,4911,*,4875-9999,65123,2025-06-17 07:14:15+00:00,-1.0
2042,2025-06-17,07:15:24,Programma 1,170-190,3,Batch,4903,*,4875-9999,64944,2025-06-17 07:15:24+00:00,-1.0
2057,2025-06-17,07:15:30,Programma 1,170-190,4,Batch,5033,*,4875-9999,64928,2025-06-17 07:15:30+00:00,0.0
2235,2025-06-17,07:16:38,Programma 1,170-190,3,Batch,5038,*,4875-9999,64749,2025-06-17 07:16:38+00:00,0.0
2238,2025-06-17,07:16:39,Programma 1,170-190,4,Batch,4902,*,4875-9999,64746,2025-06-17 07:16:39+00:00,0.0
2416,2025-06-17,07:17:51,Programma 1,170-190,3,Batch,4887,*,4875-9999,64558,2025-06-17 07:17:51+00:00,0.0
2423,2025-06-17,07:17:53,Programma 1,170-190,4,Batch,4930,*,4875-9999,64552,2025-06-17 07:17:53+00:00,0.0
2581,2025-06-17,07:18:57,Programma 1,170-190,3,Batch,4884,*,4875-9999,64387,2025-06-17 07:18:57+00:00,0.0
2596,2025-06-17,07:19:02,Programma 1,170-190,4,Batch,4989,*,4875-9999,64372,2025-06-17 07:19:02+00:00,0.0
2783,2025-06-17,07:20:17,Programma 1,170-190,3,Batch,4936,*,4875-9999,64175,2025-06-17 07:20:17+00:00,0.0
2787,2025-06-17,07:20:18,Programma 1,170-190,4,Batch,4889,*,4875-9999,64172,2025-06-17 07:20:18+00:00,-1.0
2972,2025-06-17,07:21:35,Programma 1,170-190,3,Batch,5054,*,4875-9999,63973,2025-06-17 07:21:35+00:00,0.0
2974,2025-06-17,07:21:35,Programma 1,170-190,4,Batch,4904,*,4875-9999,63974,2025-06-17 07:21:35+00:00,0.0
3120,2025-06-17,07:22:35,Programma 1,170-190,3,Batch,4922,*,4875-9999,63822,2025-06-17 07:22:35+00:00,0.0
3121,2025-06-17,07:22:35,Programma 1,170-190,4,Batch,4891,*,4875-9999,63821,2025-06-17 07:22:35+00:00,0.0
3264,2025-06-17,07:23:31,Programma 1,170-190,4,Batch,4884,*,4875-9999,63676,2025-06-17 07:23:31+00:00,0.0
3271,2025-06-17,07:23:32,Programma 1,170-190,3,Batch,5038,*,4875-9999,63670,2025-06-17 07:23:32+00:00,0.0
3402,2025-06-17,07:24:26,Programma 1,170-190,4,Batch,4877,*,4875-9999,63532,2025-06-17 07:24:26+00:00,-1.0
3419,2025-06-17,07:24:33,Programma 1,170-190,3,Batch,4894,*,4875-9999,63515,2025-06-17 07:24:33+00:00,0.0
3605,2025-06-17,07:25:50,Programma 1,170-190,4,Batch,4897,*,4875-9999,63316,2025-06-17 07:25:50+00:00,-1.0
3628,2025-06-17,07:25:58,Programma 1,170-190,3,Batch,4929,*,4875-9999,63292,2025-06-17 07:25:58+00:00,0.0
3766,2025-06-17,07:26:54,Programma 1,170-190,4,Batch,5060,*,4875-9999,63148,2025-06-17 07:26:54+00:00,0.0
3800,2025-06-17,07:27:06,Programma 1,170-190,3,Batch,5026,*,4875-9999,63115,2025-06-17 07:27:06+00:00,0.0
3907,2025-06-17,07:27:49,Programma 1,170-190,4,Batch,4907,*,4875-9999,63005,2025-06-17 07:27:49+00:00,-1.0
3927,2025-06-17,07:27:56,Programma 1,170-190,3,Batch,4904,*,4875-9999,62985,2025-06-17 07:27:56+00:00,-1.0
4061,2025-06-17,07:28:51,Programma 1,170-190,4,Batch,4901,*,4875-9999,62842,2025-06-17 07:28:51+00:00,0.0
4116,2025-06-17,07:29:12,Programma 1,170-190,3,Batch,5051,*,4875-9999,62784,2025-06-17 07:29:12+00:00,-1.0
4245,2025-06-17,07:30:08,Programma 1,170-190,4,Batch,4920,*,4875-9999,62639,2025-06-17 07:30:08+00:00,-1.0
4269,2025-06-17,07:30:20,Programma 1,170-190,3,Batch,4881,*,4875-9999,62608,2025-06-17 07:30:20+00:00,0.0
4396,2025-06-17,07:31:12,Programma 1,170-190,4,Batch,4897,*,4875-9999,62473,2025-06-17 07:31:12+00:00,-1.0
4451,2025-06-17,07:31:32,Programma 1,170-190,3,Batch,5009,*,4875-9999,62418,2025-06-17 07:31:32+00:00,-1.0
4559,2025-06-17,07:32:22,Programma 1,170-190,4,Batch,5004,*,4875-9999,62291,2025-06-17 07:32:22+00:00,-1.0
4599,2025-06-17,07:32:38,Programma 1,170-190,3,Batch,4901,*,4875-9999,62250,2025-06-17 07:32:38+00:00,0.0
4798,2025-06-17,07:34:02,Programma 1,170-190,4,Batch,5018,*,4875-9999,62032,2025-06-17 07:34:02+00:00,0.0
4831,2025-06-17,07:34:14,Programma 1,170-190,3,Batch,4938,*,4875-9999,61997,2025-06-17 07:34:14+00:00,0.0
5016,2025-06-17,07:35:35,Programma 1,170-190,4,Batch,4935,*,4875-9999,61790,2025-06-17 07:35:35+00:00,-1.0
5028,2025-06-17,07:35:42,Programma 1,170-190,3,Batch,5048,*,4875-9999,61772,2025-06-17 07:35:42+00:00,0.0
