,Date,Time,Programname,Class,Gate,Type,Weight,BatchCount,BatchWeight,file_order,Timestamp,Duration
52,2025-06-05,11:56:24,Programma 2,310-400,5,Batch,4876,,4875-9999,4390,2025-06-05 11:56:24+00:00,0.0
53,2025-06-05,11:56:24,Programma 2,310-400,7,Batch,4979,,4875-9999,4389,2025-06-05 11:56:24+00:00,0.0
57,2025-06-05,11:56:25,Programma 2,310-400,6,Batch,4945,,4875-9999,4385,2025-06-05 11:56:25+00:00,-1.0
103,2025-06-05,11:56:47,Programma 2,310-400,5,Batch,4880,,4875-9999,4331,2025-06-05 11:56:47+00:00,0.0
105,2025-06-05,11:56:48,Programma 2,310-400,7,Batch,5089,,4875-9999,4329,2025-06-05 11:56:48+00:00,0.0
108,2025-06-05,11:56:48,Programma 2,310-400,6,Batch,5067,,4875-9999,4326,2025-06-05 11:56:48+00:00,-1.0
158,2025-06-05,11:57:16,Programma 2,310-400,5,Batch,5181,,4875-9999,4270,2025-06-05 11:57:16+00:00,-1.0
168,2025-06-05,11:57:21,Programma 2,310-400,7,Batch,4976,,4875-9999,4260,2025-06-05 11:57:21+00:00,-1.0
169,2025-06-05,11:57:22,Programma 2,310-400,6,Batch,4971,,4875-9999,4259,2025-06-05 11:57:22+00:00,0.0
198,2025-06-05,11:57:36,Programma 2,310-400,5,Batch,5162,,4875-9999,4228,2025-06-05 11:57:36+00:00,0.0
222,2025-06-05,11:57:48,Programma 2,310-400,7,Batch,4945,,4875-9999,4196,2025-06-05 11:57:48+00:00,0.0
224,2025-06-05,11:57:48,Programma 2,310-400,6,Batch,5034,,4875-9999,4194,2025-06-05 11:57:48+00:00,0.0
247,2025-06-05,11:57:57,Programma 2,310-400,5,Batch,4894,,4875-9999,4170,2025-06-05 11:57:57+00:00,0.0
315,2025-06-05,11:58:34,Programma 2,310-400,6,Batch,5219,,4875-9999,4091,2025-06-05 11:58:34+00:00,-1.0
314,2025-06-05,11:58:34,Programma 2,310-400,7,Batch,4898,,4875-9999,4093,2025-06-05 11:58:34+00:00,0.0
316,2025-06-05,11:58:35,Programma 2,310-400,5,Batch,4913,,4875-9999,4089,2025-06-05 11:58:35+00:00,0.0
362,2025-06-05,11:59:01,Programma 2,310-400,7,Batch,4891,,4875-9999,4029,2025-06-05 11:59:01+00:00,-1.0
363,2025-06-05,11:59:01,Programma 2,310-400,6,Batch,4931,,4875-9999,4031,2025-06-05 11:59:01+00:00,0.0
364,2025-06-05,11:59:01,Programma 2,310-400,5,Batch,5056,,4875-9999,4032,2025-06-05 11:59:01+00:00,0.0
418,2025-06-05,11:59:24,Programma 2,310-400,5,Batch,4915,,4875-9999,3976,2025-06-05 11:59:24+00:00,0.0
419,2025-06-05,11:59:24,Programma 2,310-400,6,Batch,4945,,4875-9999,3975,2025-06-05 11:59:24+00:00,-1.0
447,2025-06-05,11:59:35,Programma 2,310-400,7,Batch,4943,,4875-9999,3950,2025-06-05 11:59:35+00:00,0.0
457,2025-06-05,11:59:40,Programma 2,310-400,5,Batch,4917,,4875-9999,3937,2025-06-05 11:59:40+00:00,0.0
476,2025-06-05,11:59:50,Programma 2,310-400,6,Batch,4980,,4875-9999,3918,2025-06-05 11:59:50+00:00,-1.0
502,2025-06-05,12:00:01,Programma 2,310-400,7,Batch,4968,,4875-9999,3892,2025-06-05 12:00:01+00:00,-1.0
504,2025-06-05,12:00:03,Programma 2,310-400,5,Batch,5020,,4875-9999,3889,2025-06-05 12:00:03+00:00,-1.0
532,2025-06-05,12:00:16,Programma 2,310-400,6,Batch,4942,,4875-9999,3860,2025-06-05 12:00:16+00:00,-1.0
564,2025-06-05,12:00:32,Programma 2,310-400,7,Batch,4904,,4875-9999,3828,2025-06-05 12:00:32+00:00,0.0
572,2025-06-05,12:00:35,Programma 2,310-400,5,Batch,5250,,4875-9999,3818,2025-06-05 12:00:35+00:00,-1.0
599,2025-06-05,12:00:54,Programma 2,310-400,6,Batch,4933,,4875-9999,3789,2025-06-05 12:00:54+00:00,-1.0
631,2025-06-05,12:01:07,Programma 2,310-400,7,Batch,4958,,4875-9999,3757,2025-06-05 12:01:07+00:00,0.0
646,2025-06-05,12:01:13,Programma 2,310-400,5,Batch,5181,,4875-9999,3740,2025-06-05 12:01:13+00:00,0.0
666,2025-06-05,12:01:24,Programma 2,310-400,6,Batch,4944,,4875-9999,3714,2025-06-05 12:01:24+00:00,0.0
740,2025-06-05,12:02:01,Programma 2,310-400,7,Batch,5153,,4875-9999,3628,2025-06-05 12:02:01+00:00,-1.0
762,2025-06-05,12:02:12,Programma 2,310-400,5,Batch,5177,,4875-9999,3602,2025-06-05 12:02:12+00:00,0.0
801,2025-06-05,12:02:27,Programma 2,310-400,6,Batch,4922,,4875-9999,3563,2025-06-05 12:02:27+00:00,0.0
870,2025-06-05,12:02:57,Programma 2,310-400,7,Batch,4944,,4875-9999,3491,2025-06-05 12:02:57+00:00,0.0
891,2025-06-05,12:03:06,Programma 2,310-400,5,Batch,5164,,4875-9999,3467,2025-06-05 12:03:06+00:00,0.0
922,2025-06-05,12:03:19,Programma 2,310-400,6,Batch,5170,,4875-9999,3433,2025-06-05 12:03:19+00:00,-1.0
970,2025-06-05,12:03:40,Programma 2,310-400,7,Batch,5078,,4875-9999,3384,2025-06-05 12:03:40+00:00,-2.0
991,2025-06-05,12:03:50,Programma 2,310-400,5,Batch,5101,,4875-9999,3362,2025-06-05 12:03:50+00:00,0.0
1018,2025-06-05,12:03:59,Programma 2,310-400,6,Batch,5016,,4875-9999,3335,2025-06-05 12:03:59+00:00,-1.0
1076,2025-06-05,12:04:23,Programma 2,310-400,7,Batch,5083,,4875-9999,3278,2025-06-05 12:04:23+00:00,0.0
1096,2025-06-05,12:04:31,Programma 2,310-400,5,Batch,5122,,4875-9999,3257,2025-06-05 12:04:31+00:00,-1.0
1124,2025-06-05,12:04:43,Programma 2,310-400,6,Batch,4965,,4875-9999,3229,2025-06-05 12:04:43+00:00,-1.0
1209,2025-06-05,12:05:25,Programma 2,310-400,7,Batch,5018,,4875-9999,3142,2025-06-05 12:05:25+00:00,-1.0
1232,2025-06-05,12:05:34,Programma 2,310-400,5,Batch,5174,,4875-9999,3119,2025-06-05 12:05:34+00:00,-1.0
1253,2025-06-05,12:05:44,Programma 2,310-400,6,Batch,5007,,4875-9999,3098,2025-06-05 12:05:44+00:00,-1.0
1329,2025-06-05,12:06:17,Programma 2,310-400,7,Batch,4900,,4875-9999,3022,2025-06-05 12:06:17+00:00,0.0
1381,2025-06-05,12:06:50,Programma 2,310-400,5,Batch,5110,,4875-9999,2968,2025-06-05 12:06:50+00:00,-1.0
1405,2025-06-05,12:07:01,Programma 2,310-400,6,Batch,4903,,4875-9999,2944,2025-06-05 12:07:01+00:00,-2.0
1459,2025-06-05,12:07:24,Programma 2,310-400,7,Batch,4943,,4875-9999,2888,2025-06-05 12:07:24+00:00,0.0
1497,2025-06-05,12:07:45,Programma 2,310-400,5,Batch,4989,,4875-9999,2850,2025-06-05 12:07:45+00:00,0.0
1516,2025-06-05,12:07:54,Programma 2,310-400,6,Batch,5020,,4875-9999,2831,2025-06-05 12:07:54+00:00,0.0
1591,2025-06-05,12:08:26,Programma 2,310-400,7,Batch,5120,,4875-9999,2758,2025-06-05 12:08:26+00:00,0.0
1634,2025-06-05,12:08:52,Programma 2,310-400,5,Batch,5095,,4875-9999,2711,2025-06-05 12:08:52+00:00,-1.0
1665,2025-06-05,12:09:08,Programma 2,310-400,6,Batch,5102,,4875-9999,2680,2025-06-05 12:09:08+00:00,-1.0
