,Date,Time,Programname,Class,Gate,Type,Weight,BatchCount,BatchWeight,file_order,Timestamp,Duration
52,2025-06-13,08:38:40,Programma 1,170-195,4,Batch,4637,25,*,52204,2025-06-13 08:38:40+00:00,0.0
74,2025-06-13,08:38:56,Programma 1,170-195,3,Batch,4562,25,*,52164,2025-06-13 08:38:56+00:00,0.0
131,2025-06-13,08:39:30,Programma 1,170-195,4,Batch,4565,25,*,52078,2025-06-13 08:39:30+00:00,0.0
161,2025-06-13,08:39:42,Programma 1,170-195,3,Batch,4580,25,*,52047,2025-06-13 08:39:42+00:00,-1.0
229,2025-06-13,08:40:15,Programma 1,170-195,4,Batch,4645,25,*,51963,2025-06-13 08:40:15+00:00,-1.0
259,2025-06-13,08:40:28,Programma 1,170-195,3,Batch,4609,25,*,51928,2025-06-13 08:40:28+00:00,0.0
330,2025-06-13,08:41:00,Programma 1,170-195,4,Batch,4586,25,*,51854,2025-06-13 08:41:00+00:00,0.0
361,2025-06-13,08:41:16,Programma 1,170-195,3,Batch,4547,25,*,51815,2025-06-13 08:41:16+00:00,0.0
406,2025-06-13,08:41:37,Programma 1,170-195,4,Batch,4550,25,*,51760,2025-06-13 08:41:37+00:00,-1.0
432,2025-06-13,08:41:49,Programma 1,170-195,3,Batch,4608,25,*,51730,2025-06-13 08:41:49+00:00,0.0
503,2025-06-13,08:42:20,Programma 1,170-195,4,Batch,4598,25,*,51649,2025-06-13 08:42:20+00:00,-1.0
536,2025-06-13,08:42:36,Programma 1,170-195,3,Batch,4587,25,*,51609,2025-06-13 08:42:36+00:00,0.0
601,2025-06-13,08:43:06,Programma 1,170-195,4,Batch,4636,25,*,51536,2025-06-13 08:43:06+00:00,-1.0
635,2025-06-13,08:43:21,Programma 1,170-195,3,Batch,4588,25,*,51500,2025-06-13 08:43:21+00:00,-1.0
687,2025-06-13,08:43:43,Programma 1,170-195,4,Batch,4624,25,*,51447,2025-06-13 08:43:43+00:00,-1.0
729,2025-06-13,08:43:58,Programma 1,170-195,3,Batch,4563,25,*,51405,2025-06-13 08:43:58+00:00,-1.0
772,2025-06-13,08:44:18,Programma 1,170-195,4,Batch,4627,25,*,51354,2025-06-13 08:44:18+00:00,-1.0
825,2025-06-13,08:44:38,Programma 1,170-195,3,Batch,4582,25,*,51301,2025-06-13 08:44:38+00:00,0.0
872,2025-06-13,08:44:58,Programma 1,170-195,4,Batch,4570,25,*,51252,2025-06-13 08:44:58+00:00,0.0
917,2025-06-13,08:45:17,Programma 1,170-195,3,Batch,4558,25,*,51204,2025-06-13 08:45:17+00:00,0.0
969,2025-06-13,08:45:37,Programma 1,170-195,4,Batch,4540,25,*,51153,2025-06-13 08:45:37+00:00,0.0
1008,2025-06-13,08:45:51,Programma 1,170-195,3,Batch,4622,25,*,51116,2025-06-13 08:45:51+00:00,0.0
1067,2025-06-13,08:46:15,Programma 1,170-195,4,Batch,4653,25,*,51055,2025-06-13 08:46:15+00:00,-1.0
