,Date,Time,Programname,Class,Gate,Type,Weight,BatchCount,BatchWeight,file_order,Timestamp,Duration
995,2025-06-17,09:50:58,Programma 1,120-170,2,Batch,4941,*,4875-9999,42523,2025-06-17 09:50:58+00:00,0.0
1202,2025-06-17,09:52:26,Programma 1,120-170,1,Batch,4985,*,4875-9999,42299,2025-06-17 09:52:26+00:00,0.0
1560,2025-06-17,09:55:03,Programma 1,120-170,2,Batch,4929,*,4875-9999,41918,2025-06-17 09:55:03+00:00,-1.0
1731,2025-06-17,09:56:17,Programma 1,120-170,1,Batch,4980,*,4875-9999,41737,2025-06-17 09:56:17+00:00,0.0
2177,2025-06-17,09:59:29,Programma 1,120-170,2,Batch,5012,*,4875-9999,41255,2025-06-17 09:59:29+00:00,-1.0
2777,2025-06-17,10:03:57,Programma 1,120-170,1,Batch,4968,*,4875-9999,40601,2025-06-17 10:03:57+00:00,0.0
4172,2025-06-17,10:14:19,Programma 1,120-170,2,Batch,4985,*,4875-9999,39093,2025-06-17 10:14:19+00:00,0.0
4688,2025-06-17,10:17:54,Programma 1,120-170,1,Batch,5022,*,4875-9999,38543,2025-06-17 10:17:54+00:00,-1.0
5477,2025-06-17,10:23:33,Programma 1,120-170,2,Batch,4948,*,4875-9999,37697,2025-06-17 10:23:33+00:00,0.0
5743,2025-06-17,10:25:35,Programma 1,120-170,1,Batch,4976,*,4875-9999,37410,2025-06-17 10:25:35+00:00,0.0
6271,2025-06-17,10:29:25,Programma 1,120-170,2,Batch,5010,*,4875-9999,36820,2025-06-17 10:29:25+00:00,0.0
6493,2025-06-17,10:30:57,Programma 1,120-170,1,Batch,4977,*,4875-9999,36579,2025-06-17 10:30:57+00:00,-1.0
6921,2025-06-17,10:34:10,Programma 1,120-170,2,Batch,4994,*,4875-9999,36102,2025-06-17 10:34:10+00:00,0.0
7183,2025-06-17,10:36:03,Programma 1,120-170,1,Batch,4991,*,4875-9999,35808,2025-06-17 10:36:03+00:00,-1.0
7324,2025-06-17,10:37:07,Programma 1,120-170,2,Batch,4982,*,4875-9999,35648,2025-06-17 10:37:07+00:00,-1.0
7357,2025-06-17,10:37:24,Programma 1,120-170,1,Batch,4912,*,4875-9999,35604,2025-06-17 10:37:24+00:00,-1.0
7444,2025-06-17,10:38:01,Programma 1,120-170,2,Batch,4893,*,4875-9999,35508,2025-06-17 10:38:01+00:00,0.0
7534,2025-06-17,10:38:43,Programma 1,120-170,1,Batch,5014,*,4875-9999,35400,2025-06-17 10:38:43+00:00,-1.0
7721,2025-06-17,10:40:11,Programma 1,120-170,2,Batch,4952,*,4875-9999,35181,2025-06-17 10:40:11+00:00,0.0
7892,2025-06-17,10:41:30,Programma 1,120-170,1,Batch,4906,*,4875-9999,34976,2025-06-17 10:41:30+00:00,-2.0
8386,2025-06-17,10:45:32,Programma 1,120-170,2,Batch,4900,*,4875-9999,34384,2025-06-17 10:45:32+00:00,0.0
8523,2025-06-17,10:46:33,Programma 1,120-170,1,Batch,4960,*,4875-9999,34230,2025-06-17 10:46:33+00:00,0.0
8973,2025-06-17,10:50:03,Programma 1,120-170,2,Batch,4993,*,4875-9999,33714,2025-06-17 10:50:03+00:00,-1.0
9167,2025-06-17,10:51:34,Programma 1,120-170,1,Batch,4996,*,4875-9999,33491,2025-06-17 10:51:34+00:00,0.0
9579,2025-06-17,10:54:51,Programma 1,120-170,2,Batch,4994,*,4875-9999,33015,2025-06-17 10:54:51+00:00,-1.0
9699,2025-06-17,10:55:51,Programma 1,120-170,1,Batch,4969,*,4875-9999,32872,2025-06-17 10:55:51+00:00,0.0
10103,2025-06-17,10:58:52,Programma 1,120-170,2,Batch,4903,*,4875-9999,32426,2025-06-17 10:58:52+00:00,-1.0
10356,2025-06-17,11:00:44,Programma 1,120-170,1,Batch,4981,*,4875-9999,32149,2025-06-17 11:00:44+00:00,-1.0
10742,2025-06-17,11:03:30,Programma 1,120-170,2,Batch,5028,*,4875-9999,31739,2025-06-17 11:03:30+00:00,-3.0
10881,2025-06-17,11:05:49,Programma 1,120-170,1,Batch,4933,*,4875-9999,31589,2025-06-17 11:05:49+00:00,0.0
11335,2025-06-17,11:09:12,Programma 1,120-170,2,Batch,4945,*,4875-9999,31093,2025-06-17 11:09:12+00:00,0.0
