,Date,Time,Programname,Class,Gate,Type,Weight,BatchCount,BatchWeight,file_order,Timestamp,Duration
79,2025-06-12,09:12:44,Programma 1,170-200,4,Batch,4972,*,4875-9999,53690,2025-06-12 09:12:44+00:00,-1.0
225,2025-06-12,09:13:41,Programma 1,170-200,4,Batch,4886,*,4875-9999,53539,2025-06-12 09:13:41+00:00,-1.0
300,2025-06-12,09:14:11,Programma 1,170-200,4,Batch,4945,*,4875-9999,53461,2025-06-12 09:14:11+00:00,0.0
385,2025-06-12,09:14:45,Programma 1,170-200,4,Batch,4921,*,4875-9999,53372,2025-06-12 09:14:45+00:00,0.0
488,2025-06-12,09:15:27,Programma 1,170-200,4,Batch,5018,*,4875-9999,53261,2025-06-12 09:15:27+00:00,-1.0
573,2025-06-12,09:16:01,Programma 1,170-200,4,Batch,4924,*,4875-9999,53173,2025-06-12 09:16:01+00:00,-1.0
687,2025-06-12,09:16:46,Programma 1,170-200,4,Batch,4990,*,4875-9999,53055,2025-06-12 09:16:46+00:00,-1.0
795,2025-06-12,09:17:30,Programma 1,170-200,4,Batch,4927,*,4875-9999,52943,2025-06-12 09:17:30+00:00,-1.0
965,2025-06-12,09:18:38,Programma 1,170-200,4,Batch,4919,*,4875-9999,52768,2025-06-12 09:18:38+00:00,0.0
1094,2025-06-12,09:19:28,Programma 1,170-200,4,Batch,4944,*,4875-9999,52633,2025-06-12 09:19:28+00:00,-1.0
1255,2025-06-12,09:20:35,Programma 1,170-200,4,Batch,4934,*,4875-9999,52464,2025-06-12 09:20:35+00:00,-1.0
1366,2025-06-12,09:21:19,Programma 1,170-200,4,Batch,4979,*,4875-9999,52352,2025-06-12 09:21:19+00:00,0.0
1529,2025-06-12,09:22:26,Programma 1,170-200,4,Batch,4954,*,4875-9999,52185,2025-06-12 09:22:26+00:00,-1.0
1657,2025-06-12,09:23:18,Programma 1,170-200,4,Batch,4958,*,4875-9999,52056,2025-06-12 09:23:18+00:00,0.0
1820,2025-06-12,09:24:22,Programma 1,170-200,4,Batch,4923,*,4875-9999,51890,2025-06-12 09:24:22+00:00,-1.0
1896,2025-06-12,09:24:54,Programma 1,170-200,4,Batch,4924,*,4875-9999,51811,2025-06-12 09:24:54+00:00,-1.0
1992,2025-06-12,09:25:31,Programma 1,170-200,4,Batch,4897,*,4875-9999,51714,2025-06-12 09:25:31+00:00,-1.0
2082,2025-06-12,09:26:06,Programma 1,170-200,4,Batch,4879,*,4875-9999,51624,2025-06-12 09:26:06+00:00,-1.0
2173,2025-06-12,09:26:46,Programma 1,170-200,4,Batch,4896,*,4875-9999,51528,2025-06-12 09:26:46+00:00,-1.0
2242,2025-06-12,09:27:15,Programma 1,170-200,4,Batch,4880,*,4875-9999,51455,2025-06-12 09:27:15+00:00,-2.0
2314,2025-06-12,09:27:45,Programma 1,170-200,4,Batch,4909,*,4875-9999,51381,2025-06-12 09:27:45+00:00,0.0
2403,2025-06-12,09:28:21,Programma 1,170-200,4,Batch,4967,*,4875-9999,51288,2025-06-12 09:28:21+00:00,0.0
2460,2025-06-12,09:28:44,Programma 1,170-200,4,Batch,4954,*,4875-9999,51228,2025-06-12 09:28:44+00:00,-1.0
2543,2025-06-12,09:29:20,Programma 1,170-200,4,Batch,4952,*,4875-9999,51143,2025-06-12 09:29:20+00:00,-1.0
2606,2025-06-12,09:29:47,Programma 1,170-200,4,Batch,4969,*,4875-9999,51076,2025-06-12 09:29:47+00:00,-1.0
2674,2025-06-12,09:30:14,Programma 1,170-200,4,Batch,4902,*,4875-9999,51007,2025-06-12 09:30:14+00:00,0.0
2737,2025-06-12,09:30:40,Programma 1,170-200,4,Batch,4967,*,4875-9999,50942,2025-06-12 09:30:40+00:00,-1.0
2832,2025-06-12,09:31:20,Programma 1,170-200,4,Batch,4949,*,4875-9999,50846,2025-06-12 09:31:20+00:00,0.0
2903,2025-06-12,09:31:51,Programma 1,170-200,4,Batch,4946,*,4875-9999,50772,2025-06-12 09:31:51+00:00,0.0
2974,2025-06-12,09:32:21,Programma 1,170-200,4,Batch,4912,*,4875-9999,50699,2025-06-12 09:32:21+00:00,-1.0
3040,2025-06-12,09:32:48,Programma 1,170-200,4,Batch,4930,*,4875-9999,50632,2025-06-12 09:32:48+00:00,0.0
3128,2025-06-12,09:33:26,Programma 1,170-200,4,Batch,4911,*,4875-9999,50536,2025-06-12 09:33:26+00:00,-1.0
3203,2025-06-12,09:33:57,Programma 1,170-200,4,Batch,5006,*,4875-9999,50457,2025-06-12 09:33:57+00:00,-1.0
3284,2025-06-12,09:34:29,Programma 1,170-200,4,Batch,4961,*,4875-9999,50373,2025-06-12 09:34:29+00:00,-1.0
3361,2025-06-12,09:35:01,Programma 1,170-200,4,Batch,4985,*,4875-9999,50295,2025-06-12 09:35:01+00:00,0.0
3479,2025-06-12,09:35:50,Programma 1,170-200,4,Batch,4929,*,4875-9999,50170,2025-06-12 09:35:50+00:00,-1.0
3560,2025-06-12,09:36:22,Programma 1,170-200,4,Batch,4949,*,4875-9999,50088,2025-06-12 09:36:22+00:00,-1.0
3672,2025-06-12,09:37:08,Programma 1,170-200,4,Batch,4997,*,4875-9999,49970,2025-06-12 09:37:08+00:00,-1.0
3732,2025-06-12,09:37:37,Programma 1,170-200,4,Batch,4883,*,4875-9999,49899,2025-06-12 09:37:37+00:00,-1.0
3831,2025-06-12,09:38:18,Programma 1,170-200,4,Batch,4932,*,4875-9999,49793,2025-06-12 09:38:18+00:00,-1.0
3901,2025-06-12,09:38:48,Programma 1,170-200,4,Batch,4878,*,4875-9999,49718,2025-06-12 09:38:48+00:00,0.0
3975,2025-06-12,09:39:23,Programma 1,170-200,4,Batch,4920,*,4875-9999,49633,2025-06-12 09:39:23+00:00,0.0
4037,2025-06-12,09:39:51,Programma 1,170-200,4,Batch,4967,*,4875-9999,49562,2025-06-12 09:39:51+00:00,-1.0
4109,2025-06-12,09:40:23,Programma 1,170-200,4,Batch,5003,*,4875-9999,49486,2025-06-12 09:40:23+00:00,0.0
4201,2025-06-12,09:41:01,Programma 1,170-200,4,Batch,4961,*,4875-9999,49385,2025-06-12 09:41:01+00:00,-1.0
4297,2025-06-12,09:41:41,Programma 1,170-200,4,Batch,4962,*,4875-9999,49287,2025-06-12 09:41:41+00:00,0.0
4401,2025-06-12,09:42:25,Programma 1,170-200,4,Batch,4932,*,4875-9999,49173,2025-06-12 09:42:25+00:00,0.0
4500,2025-06-12,09:43:08,Programma 1,170-200,4,Batch,5022,*,4875-9999,49068,2025-06-12 09:43:08+00:00,-1.0
4555,2025-06-12,09:43:30,Programma 1,170-200,4,Batch,4928,*,4875-9999,49012,2025-06-12 09:43:30+00:00,-1.0
4624,2025-06-12,09:44:00,Programma 1,170-200,4,Batch,4975,*,4875-9999,48936,2025-06-12 09:44:00+00:00,-1.0
4693,2025-06-12,09:44:30,Programma 1,170-200,4,Batch,5023,*,4875-9999,48863,2025-06-12 09:44:30+00:00,0.0
4770,2025-06-12,09:45:05,Programma 1,170-200,4,Batch,4930,*,4875-9999,48779,2025-06-12 09:45:05+00:00,-1.0
4826,2025-06-12,09:45:26,Programma 1,170-200,4,Batch,4918,*,4875-9999,48723,2025-06-12 09:45:26+00:00,-1.0
4896,2025-06-12,09:45:55,Programma 1,170-200,4,Batch,4896,*,4875-9999,48650,2025-06-12 09:45:55+00:00,-1.0
4975,2025-06-12,09:46:28,Programma 1,170-200,4,Batch,4888,*,4875-9999,48563,2025-06-12 09:46:28+00:00,-1.0
5097,2025-06-12,09:47:21,Programma 1,170-200,4,Batch,4956,*,4875-9999,48433,2025-06-12 09:47:21+00:00,-1.0
5231,2025-06-12,09:48:14,Programma 1,170-200,4,Batch,4938,*,4875-9999,48296,2025-06-12 09:48:14+00:00,0.0
5387,2025-06-12,09:49:24,Programma 1,170-200,4,Batch,4955,*,4875-9999,48125,2025-06-12 09:49:24+00:00,0.0
5501,2025-06-12,09:50:22,Programma 1,170-200,4,Batch,4886,*,4875-9999,48007,2025-06-12 09:50:22+00:00,-1.0
5602,2025-06-12,09:51:12,Programma 1,170-200,4,Batch,4932,*,4875-9999,47894,2025-06-12 09:51:12+00:00,0.0
5676,2025-06-12,09:51:47,Programma 1,170-200,4,Batch,4891,*,4875-9999,47813,2025-06-12 09:51:47+00:00,0.0
5775,2025-06-12,09:52:29,Programma 1,170-200,4,Batch,4940,*,4875-9999,47707,2025-06-12 09:52:29+00:00,-1.0
5874,2025-06-12,09:53:15,Programma 1,170-200,4,Batch,4931,*,4875-9999,47597,2025-06-12 09:53:15+00:00,0.0
5964,2025-06-12,09:53:54,Programma 1,170-200,4,Batch,4961,*,4875-9999,47497,2025-06-12 09:53:54+00:00,0.0
6078,2025-06-12,09:54:46,Programma 1,170-200,4,Batch,5037,*,4875-9999,47362,2025-06-12 09:54:46+00:00,0.0
6160,2025-06-12,09:55:23,Programma 1,170-200,4,Batch,4899,*,4875-9999,47268,2025-06-12 09:55:23+00:00,-1.0
