,Date,Time,Programname,Class,Gate,Type,Weight,BatchCount,BatchWeight,file_order,Timestamp,Duration
96,2025-06-05,08:52:16,Programma 1,120-160,1,Batch,4397,30,*,29475,2025-06-05 08:52:16+00:00,0.0
114,2025-06-05,08:52:24,Programma 1,120-160,2,Batch,4364,30,*,29457,2025-06-05 08:52:24+00:00,-1.0
194,2025-06-05,08:53:00,Programma 1,120-160,1,Batch,4343,30,*,29372,2025-06-05 08:53:00+00:00,-1.0
208,2025-06-05,08:53:09,Programma 1,120-160,2,Batch,4436,30,*,29355,2025-06-05 08:53:09+00:00,0.0
294,2025-06-05,08:53:53,Programma 1,120-160,1,Batch,4368,30,*,29261,2025-06-05 08:53:53+00:00,-1.0
324,2025-06-05,08:54:08,Programma 1,120-160,2,Batch,4278,30,*,29229,2025-06-05 08:54:08+00:00,-2.0
401,2025-06-05,08:54:47,Programma 1,120-160,1,Batch,4329,30,*,29147,2025-06-05 08:54:47+00:00,0.0
409,2025-06-05,08:54:50,Programma 1,120-160,2,Batch,4400,30,*,29139,2025-06-05 08:54:50+00:00,-1.0
483,2025-06-05,08:55:23,Programma 1,120-160,1,Batch,4305,30,*,29061,2025-06-05 08:55:23+00:00,-1.0
494,2025-06-05,08:55:27,Programma 1,120-160,2,Batch,4451,30,*,29051,2025-06-05 08:55:27+00:00,0.0
560,2025-06-05,08:55:57,Programma 1,120-160,1,Batch,4356,30,*,28983,2025-06-05 08:55:57+00:00,-1.0
576,2025-06-05,08:56:03,Programma 1,120-160,2,Batch,4337,30,*,28966,2025-06-05 08:56:03+00:00,-1.0
643,2025-06-05,08:56:35,Programma 1,120-160,1,Batch,4451,30,*,28894,2025-06-05 08:56:35+00:00,0.0
657,2025-06-05,08:56:42,Programma 1,120-160,2,Batch,4405,30,*,28881,2025-06-05 08:56:42+00:00,0.0
714,2025-06-05,08:57:11,Programma 1,120-160,1,Batch,4303,30,*,28822,2025-06-05 08:57:11+00:00,0.0
725,2025-06-05,08:57:16,Programma 1,120-160,2,Batch,4281,30,*,28809,2025-06-05 08:57:16+00:00,0.0
795,2025-06-05,08:57:48,Programma 1,120-160,1,Batch,4247,30,*,28735,2025-06-05 08:57:48+00:00,0.0
807,2025-06-05,08:57:54,Programma 1,120-160,2,Batch,4281,30,*,28724,2025-06-05 08:57:54+00:00,0.0
879,2025-06-05,08:58:37,Programma 1,120-160,1,Batch,4310,30,*,28645,2025-06-05 08:58:37+00:00,0.0
889,2025-06-05,08:58:41,Programma 1,120-160,2,Batch,4336,30,*,28632,2025-06-05 08:58:41+00:00,-1.0
947,2025-06-05,08:59:07,Programma 1,120-160,1,Batch,4299,30,*,28572,2025-06-05 08:59:07+00:00,0.0
960,2025-06-05,08:59:14,Programma 1,120-160,2,Batch,4341,30,*,28558,2025-06-05 08:59:14+00:00,-1.0
1026,2025-06-05,08:59:46,Programma 1,120-160,1,Batch,4351,30,*,28490,2025-06-05 08:59:46+00:00,-1.0
1039,2025-06-05,08:59:52,Programma 1,120-160,2,Batch,4405,30,*,28475,2025-06-05 08:59:52+00:00,-1.0
1098,2025-06-05,09:00:20,Programma 1,120-160,1,Batch,4333,30,*,28414,2025-06-05 09:00:20+00:00,0.0
1115,2025-06-05,09:00:29,Programma 1,120-160,2,Batch,4330,30,*,28393,2025-06-05 09:00:29+00:00,-1.0
1194,2025-06-05,09:01:01,Programma 1,120-160,1,Batch,4339,30,*,28310,2025-06-05 09:01:01+00:00,-1.0
1208,2025-06-05,09:01:06,Programma 1,120-160,2,Batch,4305,30,*,28296,2025-06-05 09:01:06+00:00,-1.0
1267,2025-06-05,09:01:34,Programma 1,120-160,1,Batch,4445,30,*,28233,2025-06-05 09:01:34+00:00,0.0
1285,2025-06-05,09:01:42,Programma 1,120-160,2,Batch,4405,30,*,28214,2025-06-05 09:01:42+00:00,0.0
1386,2025-06-05,09:02:29,Programma 1,120-160,1,Batch,4516,30,*,28112,2025-06-05 09:02:29+00:00,0.0
1401,2025-06-05,09:02:35,Programma 1,120-160,2,Batch,4417,30,*,28097,2025-06-05 09:02:35+00:00,-1.0
1507,2025-06-05,09:03:22,Programma 1,120-160,1,Batch,4361,30,*,27988,2025-06-05 09:03:22+00:00,-1.0
1531,2025-06-05,09:03:32,Programma 1,120-160,2,Batch,4440,30,*,27961,2025-06-05 09:03:32+00:00,-1.0
1634,2025-06-05,09:04:21,Programma 1,120-160,1,Batch,4395,30,*,27851,2025-06-05 09:04:21+00:00,-1.0
1650,2025-06-05,09:04:29,Programma 1,120-160,2,Batch,4448,30,*,27830,2025-06-05 09:04:29+00:00,-1.0
1751,2025-06-05,09:05:14,Programma 1,120-160,1,Batch,4437,30,*,27726,2025-06-05 09:05:14+00:00,0.0
1800,2025-06-05,09:05:34,Programma 1,120-160,2,Batch,4499,30,*,27677,2025-06-05 09:05:34+00:00,-2.0
1923,2025-06-05,09:06:37,Programma 1,120-160,1,Batch,4457,30,*,27545,2025-06-05 09:06:37+00:00,0.0
1946,2025-06-05,09:06:50,Programma 1,120-160,2,Batch,4492,30,*,27521,2025-06-05 09:06:50+00:00,0.0
2068,2025-06-05,09:07:48,Programma 1,120-160,1,Batch,4439,30,*,27392,2025-06-05 09:07:48+00:00,0.0
2079,2025-06-05,09:07:53,Programma 1,120-160,2,Batch,4490,30,*,27379,2025-06-05 09:07:53+00:00,-1.0
2198,2025-06-05,09:08:45,Programma 1,120-160,1,Batch,4495,30,*,27258,2025-06-05 09:08:45+00:00,0.0
2226,2025-06-05,09:08:56,Programma 1,120-160,2,Batch,4459,30,*,27228,2025-06-05 09:08:56+00:00,-1.0
2352,2025-06-05,09:09:55,Programma 1,120-160,1,Batch,4491,30,*,27101,2025-06-05 09:09:55+00:00,0.0
2367,2025-06-05,09:10:01,Programma 1,120-160,2,Batch,4518,30,*,27083,2025-06-05 09:10:01+00:00,0.0
2462,2025-06-05,09:10:41,Programma 1,120-160,1,Batch,4460,30,*,26987,2025-06-05 09:10:41+00:00,0.0
2479,2025-06-05,09:10:50,Programma 1,120-160,2,Batch,4419,30,*,26969,2025-06-05 09:10:50+00:00,0.0
2556,2025-06-05,09:11:28,Programma 1,120-160,1,Batch,4424,30,*,26891,2025-06-05 09:11:28+00:00,0.0
2580,2025-06-05,09:11:40,Programma 1,120-160,2,Batch,4470,30,*,26866,2025-06-05 09:11:40+00:00,0.0
2671,2025-06-05,09:12:28,Programma 1,120-160,1,Batch,4470,30,*,26773,2025-06-05 09:12:28+00:00,-1.0
2698,2025-06-05,09:12:41,Programma 1,120-160,2,Batch,4476,30,*,26744,2025-06-05 09:12:41+00:00,-1.0
2799,2025-06-05,09:13:31,Programma 1,120-160,1,Batch,4541,30,*,26639,2025-06-05 09:13:31+00:00,-1.0
2819,2025-06-05,09:13:41,Programma 1,120-160,2,Batch,4518,30,*,26617,2025-06-05 09:13:41+00:00,0.0
2950,2025-06-05,09:14:35,Programma 1,120-160,1,Batch,4559,30,*,26484,2025-06-05 09:14:35+00:00,-1.0
2976,2025-06-05,09:14:45,Programma 1,120-160,2,Batch,4448,30,*,26458,2025-06-05 09:14:45+00:00,-1.0
3110,2025-06-05,09:15:41,Programma 1,120-160,1,Batch,4472,30,*,26321,2025-06-05 09:15:41+00:00,0.0
3137,2025-06-05,09:15:52,Programma 1,120-160,2,Batch,4474,30,*,26291,2025-06-05 09:15:52+00:00,0.0
3250,2025-06-05,09:16:40,Programma 1,120-160,1,Batch,4528,30,*,26174,2025-06-05 09:16:40+00:00,-1.0
3282,2025-06-05,09:16:55,Programma 1,120-160,2,Batch,4472,30,*,26142,2025-06-05 09:16:55+00:00,0.0
3412,2025-06-05,09:17:52,Programma 1,120-160,1,Batch,4424,30,*,26006,2025-06-05 09:17:52+00:00,0.0
3442,2025-06-05,09:18:06,Programma 1,120-160,2,Batch,4442,30,*,25974,2025-06-05 09:18:06+00:00,-1.0
