,Date,Time,Programname,Class,Gate,Type,Weight,BatchCount,BatchWeight,file_order,Timestamp,Duration
30,2025-06-11,08:22:52,Programma 1,260-320,6,Batch,5046,*,4855-9999,13585,2025-06-11 08:22:52+00:00,-1.0
38,2025-06-11,08:23:02,Programma 1,260-320,5,Batch,4969,*,4855-9999,13569,2025-06-11 08:23:02+00:00,-1.0
73,2025-06-11,08:23:28,Programma 1,260-320,6,Batch,4864,*,4855-9999,13514,2025-06-11 08:23:28+00:00,0.0
90,2025-06-11,08:23:37,Programma 1,260-320,5,Batch,5169,*,4855-9999,13496,2025-06-11 08:23:37+00:00,0.0
127,2025-06-11,08:23:58,Programma 1,260-320,6,Batch,5030,*,4855-9999,13454,2025-06-11 08:23:58+00:00,0.0
140,2025-06-11,08:24:10,Programma 1,260-320,5,Batch,5071,*,4855-9999,13430,2025-06-11 08:24:10+00:00,0.0
177,2025-06-11,08:24:39,Programma 1,260-320,6,Batch,5050,*,4855-9999,13375,2025-06-11 08:24:39+00:00,-1.0
188,2025-06-11,08:24:49,Programma 1,260-320,5,Batch,4948,*,4855-9999,13360,2025-06-11 08:24:49+00:00,0.0
225,2025-06-11,08:25:36,Programma 1,260-320,6,Batch,4897,*,4855-9999,13279,2025-06-11 08:25:36+00:00,0.0
234,2025-06-11,08:25:41,Programma 1,260-320,5,Batch,4910,*,4855-9999,13267,2025-06-11 08:25:41+00:00,-1.0
260,2025-06-11,08:26:04,Programma 1,260-320,6,Batch,4963,*,4855-9999,13229,2025-06-11 08:26:04+00:00,0.0
272,2025-06-11,08:26:14,Programma 1,260-320,5,Batch,4923,*,4855-9999,13205,2025-06-11 08:26:14+00:00,-1.0
309,2025-06-11,08:26:52,Programma 1,260-320,6,Batch,5096,*,4855-9999,13127,2025-06-11 08:26:52+00:00,-1.0
323,2025-06-11,08:27:01,Programma 1,260-320,5,Batch,4979,*,4855-9999,13108,2025-06-11 08:27:01+00:00,0.0
356,2025-06-11,08:27:28,Programma 1,260-320,6,Batch,4919,*,4855-9999,13057,2025-06-11 08:27:28+00:00,-1.0
