,Date,Time,Programname,Class,Gate,Type,Weight,BatchCount,BatchWeight,file_order,Timestamp,Duration
642,2025-06-05,12:01:11,Programma 2,290-310,3,Batch,5086,,4875-9999,3744,2025-06-05 12:01:11+00:00,0.0
647,2025-06-05,12:01:13,Programma 2,290-310,4,Batch,5113,,4875-9999,3739,2025-06-05 12:01:13+00:00,-1.0
789,2025-06-05,12:02:22,Programma 2,290-310,3,Batch,5138,,4875-9999,3577,2025-06-05 12:02:22+00:00,0.0
795,2025-06-05,12:02:24,Programma 2,290-310,4,Batch,5092,,4875-9999,3569,2025-06-05 12:02:24+00:00,-1.0
988,2025-06-05,12:03:49,Programma 2,290-310,3,Batch,5070,,4875-9999,3363,2025-06-05 12:03:49+00:00,-1.0
994,2025-06-05,12:03:51,Programma 2,290-310,4,Batch,5094,,4875-9999,3359,2025-06-05 12:03:51+00:00,0.0
1160,2025-06-05,12:04:59,Programma 2,290-310,3,Batch,5084,,4875-9999,3193,2025-06-05 12:04:59+00:00,-1.0
1162,2025-06-05,12:05:00,Programma 2,290-310,4,Batch,5110,,4875-9999,3191,2025-06-05 12:05:00+00:00,0.0
1293,2025-06-05,12:06:01,Programma 2,290-310,3,Batch,5094,,4875-9999,3058,2025-06-05 12:06:01+00:00,-1.0
1301,2025-06-05,12:06:04,Programma 2,290-310,4,Batch,5090,,4875-9999,3051,2025-06-05 12:06:04+00:00,0.0
1463,2025-06-05,12:07:25,Programma 2,290-310,3,Batch,5088,,4875-9999,2884,2025-06-05 12:07:25+00:00,0.0
1472,2025-06-05,12:07:28,Programma 2,290-310,4,Batch,5083,,4875-9999,2877,2025-06-05 12:07:28+00:00,0.0
1629,2025-06-05,12:08:50,Programma 2,290-310,3,Batch,5083,,4875-9999,2716,2025-06-05 12:08:50+00:00,-1.0
1640,2025-06-05,12:08:55,Programma 2,290-310,4,Batch,5058,,4875-9999,2705,2025-06-05 12:08:55+00:00,-2.0
1803,2025-06-05,12:10:17,Programma 2,290-310,3,Batch,5107,,4875-9999,2541,2025-06-05 12:10:17+00:00,-1.0
1806,2025-06-05,12:10:18,Programma 2,290-310,4,Batch,5112,,4875-9999,2538,2025-06-05 12:10:18+00:00,0.0
1957,2025-06-05,12:11:52,Programma 2,290-310,3,Batch,5112,,4875-9999,2382,2025-06-05 12:11:52+00:00,-1.0
1963,2025-06-05,12:11:54,Programma 2,290-310,4,Batch,5115,,4875-9999,2375,2025-06-05 12:11:54+00:00,-1.0
2119,2025-06-05,12:13:03,Programma 2,290-310,3,Batch,5082,,4875-9999,2217,2025-06-05 12:13:03+00:00,0.0
2128,2025-06-05,12:13:07,Programma 2,290-310,4,Batch,5073,,4875-9999,2207,2025-06-05 12:13:07+00:00,0.0
2237,2025-06-05,12:14:04,Programma 2,290-310,3,Batch,5079,,4875-9999,2091,2025-06-05 12:14:04+00:00,0.0
2239,2025-06-05,12:14:05,Programma 2,290-310,4,Batch,5085,,4875-9999,2089,2025-06-05 12:14:05+00:00,-1.0
2442,2025-06-05,12:16:02,Programma 2,290-310,3,Batch,5047,,4875-9999,1882,2025-06-05 12:16:02+00:00,-1.0
2446,2025-06-05,12:16:04,Programma 2,290-310,4,Batch,5066,,4875-9999,1878,2025-06-05 12:16:04+00:00,-1.0
2574,2025-06-05,12:17:16,Programma 2,290-310,3,Batch,5118,,4875-9999,1750,2025-06-05 12:17:16+00:00,0.0
2579,2025-06-05,12:17:17,Programma 2,290-310,4,Batch,5097,,4875-9999,1745,2025-06-05 12:17:17+00:00,-1.0
2696,2025-06-05,12:18:22,Programma 2,290-310,3,Batch,5064,,4875-9999,1626,2025-06-05 12:18:22+00:00,-1.0
