,Date,Time,Programname,Class,Gate,Type,Weight,BatchCount,BatchWeight,file_order,Timestamp,Duration
413,2025-06-13,11:16:28,Programma 1,280-300,4,Batch,4912,*,4875-9999,29982,2025-06-13 11:16:28+00:00,0.0
421,2025-06-13,11:16:31,Programma 1,280-300,5,Batch,4906,*,4875-9999,29975,2025-06-13 11:16:31+00:00,0.0
426,2025-06-13,11:16:33,Programma 1,280-300,6,Batch,4927,*,4875-9999,29970,2025-06-13 11:16:33+00:00,0.0
743,2025-06-13,11:19:06,Programma 1,280-300,4,Batch,4930,*,4875-9999,29638,2025-06-13 11:19:06+00:00,-1.0
752,2025-06-13,11:19:09,Programma 1,280-300,5,Batch,4904,*,4875-9999,29632,2025-06-13 11:19:09+00:00,0.0
778,2025-06-13,11:19:18,Programma 1,280-300,6,Batch,5154,*,4875-9999,29606,2025-06-13 11:19:18+00:00,-1.0
1013,2025-06-13,11:21:20,Programma 1,280-300,4,Batch,4924,*,4875-9999,29346,2025-06-13 11:21:20+00:00,0.0
1017,2025-06-13,11:21:21,Programma 1,280-300,5,Batch,4927,*,4875-9999,29342,2025-06-13 11:21:21+00:00,-1.0
1044,2025-06-13,11:21:31,Programma 1,280-300,6,Batch,4926,*,4875-9999,29315,2025-06-13 11:21:31+00:00,-1.0
1321,2025-06-13,11:23:39,Programma 1,280-300,4,Batch,4893,*,4875-9999,29023,2025-06-13 11:23:39+00:00,0.0
1333,2025-06-13,11:23:46,Programma 1,280-300,5,Batch,4909,*,4875-9999,29010,2025-06-13 11:23:46+00:00,-1.0
1350,2025-06-13,11:23:56,Programma 1,280-300,6,Batch,4916,*,4875-9999,28993,2025-06-13 11:23:56+00:00,0.0
1616,2025-06-13,11:26:04,Programma 1,280-300,4,Batch,4900,*,4875-9999,28715,2025-06-13 11:26:04+00:00,0.0
1629,2025-06-13,11:26:10,Programma 1,280-300,5,Batch,5154,*,4875-9999,28700,2025-06-13 11:26:10+00:00,-2.0
1635,2025-06-13,11:26:14,Programma 1,280-300,6,Batch,4900,*,4875-9999,28692,2025-06-13 11:26:14+00:00,0.0
1917,2025-06-13,11:28:30,Programma 1,280-300,4,Batch,4919,*,4875-9999,28406,2025-06-13 11:28:30+00:00,0.0
1957,2025-06-13,11:28:46,Programma 1,280-300,5,Batch,4911,*,4875-9999,28366,2025-06-13 11:28:46+00:00,-1.0
1969,2025-06-13,11:28:52,Programma 1,280-300,6,Batch,4895,*,4875-9999,28353,2025-06-13 11:28:52+00:00,0.0
2308,2025-06-13,11:31:27,Programma 1,280-300,4,Batch,4933,*,4875-9999,28003,2025-06-13 11:31:27+00:00,-2.0
2332,2025-06-13,11:31:40,Programma 1,280-300,5,Batch,4917,*,4875-9999,27974,2025-06-13 11:31:40+00:00,0.0
2343,2025-06-13,11:31:46,Programma 1,280-300,6,Batch,5151,*,4875-9999,27964,2025-06-13 11:31:46+00:00,0.0
2595,2025-06-13,11:33:44,Programma 1,280-300,4,Batch,4931,*,4875-9999,27698,2025-06-13 11:33:44+00:00,-1.0
2617,2025-06-13,11:33:52,Programma 1,280-300,5,Batch,5152,*,4875-9999,27676,2025-06-13 11:33:52+00:00,-1.0
2627,2025-06-13,11:33:56,Programma 1,280-300,6,Batch,4898,*,4875-9999,27670,2025-06-13 11:33:56+00:00,0.0
2844,2025-06-13,11:35:36,Programma 1,280-300,4,Batch,4885,*,4875-9999,27430,2025-06-13 11:35:36+00:00,0.0
2867,2025-06-13,11:35:46,Programma 1,280-300,5,Batch,4902,*,4875-9999,27405,2025-06-13 11:35:46+00:00,-1.0
2875,2025-06-13,11:35:49,Programma 1,280-300,6,Batch,4897,*,4875-9999,27399,2025-06-13 11:35:49+00:00,0.0
3076,2025-06-13,11:37:27,Programma 1,280-300,4,Batch,4921,*,4875-9999,27185,2025-06-13 11:37:27+00:00,-1.0
3105,2025-06-13,11:37:40,Programma 1,280-300,5,Batch,4917,*,4875-9999,27154,2025-06-13 11:37:40+00:00,0.0
3114,2025-06-13,11:37:43,Programma 1,280-300,6,Batch,4902,*,4875-9999,27143,2025-06-13 11:37:43+00:00,0.0
3306,2025-06-13,11:39:09,Programma 1,280-300,4,Batch,4904,*,4875-9999,26943,2025-06-13 11:39:09+00:00,-1.0
3366,2025-06-13,11:39:37,Programma 1,280-300,5,Batch,4918,*,4875-9999,26884,2025-06-13 11:39:37+00:00,0.0
3370,2025-06-13,11:39:39,Programma 1,280-300,6,Batch,4919,*,4875-9999,26879,2025-06-13 11:39:39+00:00,-1.0
3563,2025-06-13,11:41:17,Programma 1,280-300,4,Batch,4907,*,4875-9999,26664,2025-06-13 11:41:17+00:00,0.0
3585,2025-06-13,11:41:26,Programma 1,280-300,5,Batch,4910,*,4875-9999,26638,2025-06-13 11:41:26+00:00,-1.0
3591,2025-06-13,11:41:28,Programma 1,280-300,6,Batch,4965,*,4875-9999,26632,2025-06-13 11:41:28+00:00,0.0
3759,2025-06-13,11:42:44,Programma 1,280-300,4,Batch,4913,*,4875-9999,26460,2025-06-13 11:42:44+00:00,0.0
3813,2025-06-13,11:43:14,Programma 1,280-300,5,Batch,4881,*,4875-9999,26402,2025-06-13 11:43:14+00:00,-1.0
3815,2025-06-13,11:43:16,Programma 1,280-300,6,Batch,4910,*,4875-9999,26400,2025-06-13 11:43:16+00:00,-1.0
4042,2025-06-13,11:45:49,Programma 1,280-300,4,Batch,4895,*,4875-9999,26169,2025-06-13 11:45:49+00:00,-1.0
4078,2025-06-13,11:46:03,Programma 1,280-300,5,Batch,4907,*,4875-9999,26135,2025-06-13 11:46:03+00:00,-1.0
4087,2025-06-13,11:46:05,Programma 1,280-300,6,Batch,4938,*,4875-9999,26127,2025-06-13 11:46:05+00:00,0.0
4284,2025-06-13,11:47:27,Programma 1,280-300,4,Batch,4894,*,4875-9999,25925,2025-06-13 11:47:27+00:00,-1.0
4317,2025-06-13,11:47:43,Programma 1,280-300,5,Batch,4885,*,4875-9999,25891,2025-06-13 11:47:43+00:00,0.0
4319,2025-06-13,11:47:44,Programma 1,280-300,6,Batch,4911,*,4875-9999,25886,2025-06-13 11:47:44+00:00,-1.0
4487,2025-06-13,11:49:04,Programma 1,280-300,4,Batch,4887,*,4875-9999,25712,2025-06-13 11:49:04+00:00,0.0
4504,2025-06-13,11:49:12,Programma 1,280-300,5,Batch,4911,*,4875-9999,25692,2025-06-13 11:49:12+00:00,-1.0
4508,2025-06-13,11:49:14,Programma 1,280-300,6,Batch,4936,*,4875-9999,25685,2025-06-13 11:49:14+00:00,-1.0
4674,2025-06-13,11:50:23,Programma 1,280-300,4,Batch,4905,*,4875-9999,25516,2025-06-13 11:50:23+00:00,0.0
4746,2025-06-13,11:50:54,Programma 1,280-300,6,Batch,4943,*,4875-9999,25443,2025-06-13 11:50:54+00:00,-1.0
4754,2025-06-13,11:50:58,Programma 1,280-300,5,Batch,5157,*,4875-9999,25435,2025-06-13 11:50:58+00:00,0.0
4972,2025-06-13,11:52:28,Programma 1,280-300,4,Batch,4915,*,4875-9999,25210,2025-06-13 11:52:28+00:00,0.0
5003,2025-06-13,11:52:42,Programma 1,280-300,5,Batch,4894,*,4875-9999,25175,2025-06-13 11:52:42+00:00,0.0
5002,2025-06-13,11:52:42,Programma 1,280-300,6,Batch,4942,*,4875-9999,25176,2025-06-13 11:52:42+00:00,0.0
5301,2025-06-13,11:54:49,Programma 1,280-300,4,Batch,4898,*,4875-9999,24871,2025-06-13 11:54:49+00:00,-1.0
5331,2025-06-13,11:55:03,Programma 1,280-300,5,Batch,4920,*,4875-9999,24838,2025-06-13 11:55:03+00:00,-1.0
5332,2025-06-13,11:55:03,Programma 1,280-300,6,Batch,4915,*,4875-9999,24839,2025-06-13 11:55:03+00:00,0.0
5508,2025-06-13,11:56:18,Programma 1,280-300,4,Batch,4927,*,4875-9999,24658,2025-06-13 11:56:18+00:00,0.0
5567,2025-06-13,11:56:43,Programma 1,280-300,6,Batch,4924,*,4875-9999,24595,2025-06-13 11:56:43+00:00,0.0
5570,2025-06-13,11:56:44,Programma 1,280-300,5,Batch,4892,*,4875-9999,24592,2025-06-13 11:56:44+00:00,0.0
5749,2025-06-13,11:58:05,Programma 1,280-300,4,Batch,4936,*,4875-9999,24404,2025-06-13 11:58:05+00:00,-1.0
5800,2025-06-13,11:58:29,Programma 1,280-300,6,Batch,4936,*,4875-9999,24353,2025-06-13 11:58:29+00:00,0.0
5803,2025-06-13,11:58:30,Programma 1,280-300,5,Batch,4920,*,4875-9999,24350,2025-06-13 11:58:30+00:00,0.0
5980,2025-06-13,11:59:55,Programma 1,280-300,4,Batch,4917,*,4875-9999,24163,2025-06-13 11:59:55+00:00,-1.0
6025,2025-06-13,12:00:20,Programma 1,280-300,6,Batch,4888,*,4875-9999,24111,2025-06-13 12:00:20+00:00,0.0
6026,2025-06-13,12:00:20,Programma 1,280-300,5,Batch,4892,*,4875-9999,24110,2025-06-13 12:00:20+00:00,-1.0
6186,2025-06-13,12:01:38,Programma 1,280-300,4,Batch,4908,*,4875-9999,23941,2025-06-13 12:01:38+00:00,-1.0
6215,2025-06-13,12:01:50,Programma 1,280-300,6,Batch,4940,*,4875-9999,23913,2025-06-13 12:01:50+00:00,-1.0
