,Date,Time,Programname,Class,Gate,Type,Weight,BatchCount,BatchWeight,file_order,Timestamp,Duration
150,2025-06-16,15:05:40,Programma 1,190-275,3,Batch,5094,*,4875-9999,8337,2025-06-16 15:05:40+00:00,0.0
202,2025-06-16,15:06:09,Programma 1,190-275,1,Batch,5133,*,4875-9999,8282,2025-06-16 15:06:09+00:00,0.0
304,2025-06-16,15:06:52,Programma 1,190-275,2,Batch,5004,*,4875-9999,8175,2025-06-16 15:06:52+00:00,0.0
364,2025-06-16,15:07:20,Programma 1,190-275,3,Batch,5028,*,4875-9999,8107,2025-06-16 15:07:20+00:00,0.0
435,2025-06-16,15:07:52,Programma 1,190-275,1,Batch,4926,*,4875-9999,8035,2025-06-16 15:07:52+00:00,-1.0
496,2025-06-16,15:08:21,Programma 1,190-275,2,Batch,4911,*,4875-9999,7969,2025-06-16 15:08:21+00:00,-1.0
593,2025-06-16,15:09:07,Programma 1,190-275,3,Batch,5106,*,4875-9999,7868,2025-06-16 15:09:07+00:00,0.0
652,2025-06-16,15:09:35,Programma 1,190-275,1,Batch,5056,*,4875-9999,7803,2025-06-16 15:09:35+00:00,-1.0
713,2025-06-16,15:10:05,Programma 1,190-275,2,Batch,4949,*,4875-9999,7738,2025-06-16 15:10:05+00:00,0.0
777,2025-06-16,15:10:35,Programma 1,190-275,3,Batch,4965,*,4875-9999,7672,2025-06-16 15:10:35+00:00,-1.0
841,2025-06-16,15:11:04,Programma 1,190-275,1,Batch,4964,*,4875-9999,7604,2025-06-16 15:11:04+00:00,0.0
923,2025-06-16,15:11:42,Programma 1,190-275,2,Batch,5125,*,4875-9999,7517,2025-06-16 15:11:42+00:00,0.0
1004,2025-06-16,15:12:18,Programma 1,190-275,3,Batch,5096,*,4875-9999,7428,2025-06-16 15:12:18+00:00,0.0
1048,2025-06-16,15:12:39,Programma 1,190-275,1,Batch,4990,*,4875-9999,7380,2025-06-16 15:12:39+00:00,0.0
1094,2025-06-16,15:13:03,Programma 1,190-275,2,Batch,4924,*,4875-9999,7332,2025-06-16 15:13:03+00:00,-1.0
1146,2025-06-16,15:13:25,Programma 1,190-275,3,Batch,5084,*,4875-9999,7276,2025-06-16 15:13:25+00:00,0.0
1229,2025-06-16,15:13:58,Programma 1,190-275,1,Batch,4919,*,4875-9999,7187,2025-06-16 15:13:58+00:00,-1.0
1301,2025-06-16,15:14:34,Programma 1,190-275,2,Batch,4978,*,4875-9999,7110,2025-06-16 15:14:34+00:00,0.0
1389,2025-06-16,15:15:14,Programma 1,190-275,3,Batch,5041,*,4875-9999,7015,2025-06-16 15:15:14+00:00,0.0
1464,2025-06-16,15:15:48,Programma 1,190-275,1,Batch,4941,*,4875-9999,6935,2025-06-16 15:15:48+00:00,0.0
1532,2025-06-16,15:16:27,Programma 1,190-275,2,Batch,5080,*,4875-9999,6848,2025-06-16 15:16:27+00:00,-2.0
1635,2025-06-16,15:17:15,Programma 1,190-275,3,Batch,5092,*,4875-9999,6739,2025-06-16 15:17:15+00:00,0.0
1776,2025-06-16,15:18:24,Programma 1,190-275,1,Batch,5003,*,4875-9999,6577,2025-06-16 15:18:24+00:00,-1.0
1876,2025-06-16,15:19:13,Programma 1,190-275,2,Batch,5079,*,4875-9999,6470,2025-06-16 15:19:13+00:00,0.0
1934,2025-06-16,15:19:43,Programma 1,190-275,3,Batch,5087,*,4875-9999,6406,2025-06-16 15:19:43+00:00,0.0
1969,2025-06-16,15:20:02,Programma 1,190-275,1,Batch,4891,*,4875-9999,6365,2025-06-16 15:20:02+00:00,-1.0
